ncaa_id,team,player_id,name,year,hometown,high_school,previous_school,height,position,jersey,url,season
14,Albany,9640,Elisavet Papageorgiou,Senior,"Ilioupoli, Athens, Greece",1st High School of Iliopoulis,Eastern Illinois,"6'0""",Opposite,19,https://www.ualbanysports.com/sports/womens-volleyball/roster/elisavet-papageorgiou/9640,2023
14,Albany,9524,Zosia Szczotkiewicz,Junior,"Walcz, Poland",SMS PZPS Szczryk,Wichita State,"6'2""",Setter,20,https://www.ualbanysports.com/sports/womens-volleyball/roster/zosia-szczotkiewicz/9524,2023
14,Albany,9641,Kendall Harris,Redshirt Sophomore,"Houston, Texas",St. Agnes Academy,Coastal Carolina,"5'10""",Opposite,22,https://www.ualbanysports.com/sports/womens-volleyball/roster/kendall-harris/9641,2023
110,UCLA,11924,Joy Umeh,Redshirt Senior,"Lakewood, Calif.",Mayfair HS,UC Irvine,"5'8""",Outside,0,https://www.uclabruins.com/sports/womens-volleyball/roster/joy-umeh/11924,2023
110,UCLA,11923,Mokihana Tufono,Sophomore,"Aiea, Hawaii",'Iolani School,,"5'10""",Libero,1,https://www.uclabruins.com/sports/womens-volleyball/roster/mokihana-tufono/11923,2023
110,UCLA,11915,Anna Dodson,Redshirt Senior,"Fort Collins, Colo.",Rocky Mountain HS,,"6'5""",Middle,2,https://www.uclabruins.com/sports/womens-volleyball/roster/anna-dodson/11915,2023
110,UCLA,11929,Brooklyn Briscoe,Freshman,"San Diego, Calif.",Santa Fe Christian Schools,,"6'4""",Middle,4,https://www.uclabruins.com/sports/womens-volleyball/roster/brooklyn-briscoe/11929,2023
110,UCLA,11916,Peyton Dueck,Junior,"Aptos, Calif.",Aptos HS,Cal Poly,"5'7""",Defensive,6,https://www.uclabruins.com/sports/womens-volleyball/roster/peyton-dueck/11916,2023
110,UCLA,11920,Iman Ndiaye,Senior,"Dallas, Texas",Plano West HS,,"6'2""",Outside/Opposite,7,https://www.uclabruins.com/sports/womens-volleyball/roster/iman-ndiaye/11920,2023
110,UCLA,11919,Katie McCarthy,Redshirt Sophomore,"Phoenix, Ariz.",Sunnyslope HS,,"5'6""",Defensive,8,https://www.uclabruins.com/sports/womens-volleyball/roster/katie-mccarthy/11919,2023
110,UCLA,11918,Cheridyn Leverette,Sophomore,"Hampton, Ga.",Eagle's Landing Christian Academy,,"6'0""",Outside,9,https://www.uclabruins.com/sports/womens-volleyball/roster/cheridyn-leverette/11918,2023
110,UCLA,11928,Sydney Breon,Freshman,"Dallas, Texas",Highland Park HS,,"5'10""",Defensive,10,https://www.uclabruins.com/sports/womens-volleyball/roster/sydney-breon/11928,2023
110,UCLA,11922,Audrey Pak,Senior,"Moraga, Calif.",Campolindo HS,,"5'11""",Setter,11,https://www.uclabruins.com/sports/womens-volleyball/roster/audrey-pak/11922,2023
110,UCLA,11921,Grayce Olson,Sophomore,"Pleasanton, Calif.",Foothill HS,,"6'4""",Outside/Opposite,12,https://www.uclabruins.com/sports/womens-volleyball/roster/grayce-olson/11921,2023
110,UCLA,11925,Desiree Becker,Graduate Student,"DeWitt, Mich.",DeWitt HS,Northwestern,"6'2""",Middle,14,https://www.uclabruins.com/sports/womens-volleyball/roster/desiree-becker/11925,2023
110,UCLA,11930,Ashley Mullen,Freshman,"Kansas City, Mo.",Liberty HS,,"5'11""",Setter,16,https://www.uclabruins.com/sports/womens-volleyball/roster/ashley-mullen/11930,2023
110,UCLA,11914,Francesca Alupei,Junior,"Bucharest, Romania",Colegiul National Inochentie Micu Clain,,"6'4""",Middle,17,https://www.uclabruins.com/sports/womens-volleyball/roster/francesca-alupei/11914,2023
110,UCLA,11917,Kate Lane,Senior,"San Pedro, Calif.",Palos Verdes HS,,"6'0""",Opposite,21,https://www.uclabruins.com/sports/womens-volleyball/roster/kate-lane/11917,2023
110,UCLA,11927,Kat Lutz,Freshman,"Del Mar, Calif.",Torrey Pines HS,,"5'4""",Defensive,22,https://www.uclabruins.com/sports/womens-volleyball/roster/kat-lutz/11927,2023
110,UCLA,11926,Carly Hendrickson,Sophomore,"Cincinnati, Ohio",Mt. Notre Dame HS,Florida,"6'2""",Outside,25,https://www.uclabruins.com/sports/womens-volleyball/roster/carly-hendrickson/11926,2023
164,UConn,13254,Isabella Suhy,Freshman,"Maumee, OH",,,"5'5""",DS/L,1,https://www.uconnhuskies.com/sports/womens-volleyball/roster/isabella-suhy/13254,2023
