hometown,country,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Morristown, N.J.",USA,40.427739,-74.248013,1,street_center,,"Morristown Rd",,,Matawan,NJ,"Middlesex County",07747,US,"TIGER/Line® dataset from the US Census Bureau"
"Mt. Vernon, Ind.",USA,0,0,0,,,,,,,,,,,
"Carolina, P.R.",USA,18.379441,-65.957695,0.5,place,,,,,Carolina,PR,"Carolina Municipio",00979,US,"TIGER/Line® dataset from the US Census Bureau"
"Yonkers, N.Y.",USA,40.929965,-73.870242,1,street_center,,"Yonkers Ave",,,Yonkers,NY,"Westchester County",10704,US,"TIGER/Line® dataset from the US Census Bureau"
"Princeton Junction, N.J.",USA,40.302196,-74.6204,1,street_center,,"Princeton Pl",,,"Princeton Junction",NJ,"Mercer County",08550,US,"TIGER/Line® dataset from the US Census Bureau"
"Bayamón, P.R.",USA,18.326702,-66.174176,0.5,place,,,,,Bayamon,PR,"Bayamón Municipio",00956,US,"TIGER/Line® dataset from the US Census Bureau"
"San Juan, P.R.",USA,18.465299,-66.116666,0.5,place,,,,,"San Juan",PR,"San Juan Municipio",00901,US,"TIGER/Line® dataset from the US Census Bureau"
"McPherson, Kan.",USA,38.385848,-97.429192,1,street_center,,McPherson,,,Canton,KS,"McPherson County",67428,US,"TIGER/Line® dataset from the US Census Bureau"
"Caguas, P.R.",USA,18.212965,-66.058033,0.5,place,,,,,Caguas,PR,"Caguas Municipio",00726,US,"TIGER/Line® dataset from the US Census Bureau"
"Ponce, P.R.",USA,17.990567,-66.607542,1,place,,,,,Ponce,PR,"Ponce Municipio",00716,US,"TIGER/Line® dataset from the US Census Bureau"
"Shakopee, Minn.",USA,0,0,0,,,,,,,,,,,
"Pewaukee, WI",USA,43.07705,-88.225251,1,street_center,,"Pewaukee Rd",,,Pewaukee,WI,"Waukesha County",53072,US,"TIGER/Line® dataset from the US Census Bureau"
"Bear, DE",USA,39.594736,-75.693903,0.5,place,,,,,Bear,DE,"New Castle County",19701,US,"TIGER/Line® dataset from the US Census Bureau"
"Peachtree City, GA",USA,33.413162,-84.572569,0.9,street_center,,"N Peachtree Pkwy",,,"Peachtree City",GA,"Fayette County",30269,US,"TIGER/Line® dataset from the US Census Bureau"
"Erie, CO",USA,40.081415,-104.948195,0.9,street_center,,"Erica Ct",,,Dacono,CO,"Weld County",80514,US,"TIGER/Line® dataset from the US Census Bureau"
"Marietta, GA",USA,33.941329,-84.528197,0.9,street_center,,"S Marietta Pkwy",,,Marietta,GA,"Cobb County",30060,US,"TIGER/Line® dataset from the US Census Bureau"
"Flemington, NJ",USA,40.516985,-74.865241,1,street_center,,"Flemington Gdns",,,Flemington,NJ,"Hunterdon County",08822,US,"TIGER/Line® dataset from the US Census Bureau"
"Massapequa, NY",USA,40.665811,-73.473343,1,street_center,,"Massapequa Ave",,,Massapequa,NY,"Nassau County",11758,US,"TIGER/Line® dataset from the US Census Bureau"
"Ypsilanti, MI",USA,42.202139,-83.620494,1,place,,,,,Ypsilanti,MI,"Washtenaw County",48197,US,"TIGER/Line® dataset from the US Census Bureau"
"Smithtown, NY",USA,40.847148,-73.170573,1,street_center,,"Smithtown Byp",,,Smithtown,NY,"Suffolk County",11787,US,"TIGER/Line® dataset from the US Census Bureau"
"Aliso Viejo, CA",USA,33.570199,-117.73043,1,street_center,,"Aliso Viejo Pkwy",,,"Aliso Viejo",CA,"Orange County",92656,US,"TIGER/Line® dataset from the US Census Bureau"
"North Wales, PA",USA,40.205502,-75.282619,1,street_center,,"N Wales Rd",,,"North Wales",PA,"Montgomery County",19454,US,"TIGER/Line® dataset from the US Census Bureau"
"New York, NY",USA,40.702341,-74.010262,1,street_center,,"New York Plz",,,"New York",NY,"New York County",10004,US,"TIGER/Line® dataset from the US Census Bureau"
"Carson City, Nevada",USA,39.207849,-119.80377,1,street_center,,"Carson St",,,"Carson City",NV,"Carson City",89703,US,"TIGER/Line® dataset from the US Census Bureau"
"Brighton, MI.",USA,42.528426,-83.828755,1,street_center,,"Brighton Rd",,,Brighton,MI,"Livingston County",48116,US,"TIGER/Line® dataset from the US Census Bureau"
"Tomball, TX.",USA,30.08672,-95.631918,1,street_center,,"Tomball Pkwy",,,Tomball,TX,"Harris County",77375,US,"TIGER/Line® dataset from the US Census Bureau"
"Middleton, ID.",USA,43.693483,-116.613139,0.9,street_center,,"Middleton Rd",,,Caldwell,ID,"Canyon County",83605,US,"TIGER/Line® dataset from the US Census Bureau"
"San Antonio, TX.",USA,29.456919,-98.528097,1,street_center,,"San Antonio Ave",,,"San Antonio",TX,"Bexar County",78201,US,"TIGER/Line® dataset from the US Census Bureau"
"Layton, UT.",USA,41.077345,-111.992163,1,street_center,,"Laytona Dr",,,Layton,UT,"Davis County",84041,US,"TIGER/Line® dataset from the US Census Bureau"
"Long Beach, CA.",USA,33.876382,-118.203508,0.95,street_center,,"Long Beach Blvd",,,"Long Beach",CA,"Los Angeles County",90805,US,"TIGER/Line® dataset from the US Census Bureau"
"Tempe, AZ.",USA,33.420511,-111.89534,0.9,street_center,,"S Tempe Ct",,,Tempe,AZ,"Maricopa County",85281,US,"TIGER/Line® dataset from the US Census Bureau"
"Sugar Land, TX.",USA,29.619921,-95.636637,1,street_center,,"Sugarland St",,,"Sugar Land",TX,"Fort Bend County",77498,US,"TIGER/Line® dataset from the US Census Bureau"
"Missouri City, TX.",USA,29.714639,-94.994166,0.9,street_center,,Missouri,,,Baytown,TX,"Harris County",77520,US,"TIGER/Line® dataset from the US Census Bureau"
"North Kingstown, RI",USA,41.450173,-71.493429,0.9,street_center,,"Kingstown Rd",,,Wakefield,RI,"Washington County",02879,US,"TIGER/Line® dataset from the US Census Bureau"
"Fultonville, N.Y.",USA,42.877533,-74.404477,1,place,,,,,Fultonville,NY,"Montgomery County",12072,US,"TIGER/Line® dataset from the US Census Bureau"
"Hudson, N.H.",USA,42.790451,-71.370909,1,street_center,,"Hudson Hls",,,Hudson,NH,"Hillsborough County",03051,US,"TIGER/Line® dataset from the US Census Bureau"
"Lynnfield, MA",USA,42.495313,-70.970565,0.9,street_center,,"Lynnfield St",,,Lynn,MA,"Essex County",01904,US,"TIGER/Line® dataset from the US Census Bureau"
"Andover, MA",USA,42.694638,-71.158713,0.9,street_center,,"Andover St",,,Lawrence,MA,"Essex County",01843,US,"TIGER/Line® dataset from the US Census Bureau"
"Mount Vernon, Ind.",USA,42.773711,-72.520166,1,place,,,,,Vernon,VT,"Windham County",05354,US,"TIGER/Line® dataset from the US Census Bureau"
"Ham Lake, Minn.",USA,0,0,0,,,,,,,,,,,
"Blue Ash, Ohio",USA,0,0,0,,,,,,,,,,,
"Lake Odessa, MIch.",USA,42.5092,-84.65581,0.5,place,,,,,"Eaton Rapids",MI,"Eaton County",48827,US,"TIGER/Line® dataset from the US Census Bureau"
"Joliet, MT",USA,45.597999,-109.198688,0.9,street_center,,"Joliet Rd",,,Columbus,MT,"Stillwater County",59019,US,"TIGER/Line® dataset from the US Census Bureau"
"Great Falls, MT",USA,47.511219,-111.2755,1,place,,,,,"Great Falls",MT,"Cascade County",59401,US,"TIGER/Line® dataset from the US Census Bureau"
"Diller, NE",USA,40.10945,-96.93503,1,place,,,,,Diller,NE,"Jefferson County",68342,US,"TIGER/Line® dataset from the US Census Bureau"
"Belleview, FL",USA,29.053715,-82.038906,1,place,,,,,Belleview,FL,"Marion County",34420,US,"TIGER/Line® dataset from the US Census Bureau"
"Helena, MT",USA,46.595047,-112.029171,1,street_center,,"Helena Ave",,,Helena,MT,"Lewis And Clark County",59601,US,"TIGER/Line® dataset from the US Census Bureau"
"Parker, CO",USA,39.471341,-104.758434,1,street_center,,"Parker Rd",,,Parker,CO,"Douglas County",80134,US,"TIGER/Line® dataset from the US Census Bureau"
"Idaho Falls, ID",USA,43.512131,-111.963699,1,street_center,,"Idaho St",,,"Idaho Falls",ID,"Bonneville County",83401,US,"TIGER/Line® dataset from the US Census Bureau"
"Ennis, MT",USA,45.346687,-111.728933,1,street_center,,"Ennis St",,,Ennis,MT,"Madison County",59729,US,"TIGER/Line® dataset from the US Census Bureau"
"Bozeman, MT",USA,45.592303,-111.197823,0.9,street_center,,"Bozeman St",,,"Gallatin Gateway",MT,"Gallatin County",59730,US,"TIGER/Line® dataset from the US Census Bureau"
"Omaha, NE",USA,41.213077,-95.932175,0.9,street_center,,"S Omaha Brg",,,Omaha,NE,"Douglas County",68107,US,"TIGER/Line® dataset from the US Census Bureau"
"Carson City, NV",USA,39.207849,-119.80377,1,street_center,,"Carson St",,,"Carson City",NV,"Carson City",89703,US,"TIGER/Line® dataset from the US Census Bureau"
"Truckee, CA",USA,39.3781,-120.186383,1,place,,,,,Truckee,CA,"Nevada County",96160,US,"TIGER/Line® dataset from the US Census Bureau"
"Sylvania, OH",USA,41.688654,-83.725223,1,street_center,,"Sylvania Ave",,,Sylvania,OH,"Lucas County",43560,US,"TIGER/Line® dataset from the US Census Bureau"
"Woodbury, MN",USA,44.932011,-92.903273,0.9,street_center,,"Woodbury Dr",,,"Saint Paul",MN,"Washington County",55129,US,"TIGER/Line® dataset from the US Census Bureau"
"Coeur d'Alene, ID",USA,47.97368,-116.830349,0.9,street_center,,"Coeur D'alene Dr",,,"Spirit Lake",ID,"Kootenai County",83869,US,"TIGER/Line® dataset from the US Census Bureau"
"Denton, TX",USA,33.218786,-97.13895,1,street_center,,"Denton St",,,Denton,TX,"Denton County",76201,US,"TIGER/Line® dataset from the US Census Bureau"
"Kuna, ID",USA,43.488171,-116.514218,1,street_center,,"Kuna Rd",,,Kuna,ID,"Canyon County",83634,US,"TIGER/Line® dataset from the US Census Bureau"
"Gillette, WY",USA,44.287063,-105.504424,0.9,street_center,,"S Gillette Ave",,,Gillette,WY,"Campbell County",82716,US,"TIGER/Line® dataset from the US Census Bureau"
"San Leandro, CA",USA,37.728142,-122.164212,1,street_center,,"San Leandro",,,"San Leandro",CA,"Alameda County",94577,US,"TIGER/Line® dataset from the US Census Bureau"
"Elizabethtown, KY",USA,37.685206,-85.863048,0.6,street_center,,"Elizabethtown Byp",,,Elizabethtown,KY,"Hardin County",42701,US,"TIGER/Line® dataset from the US Census Bureau"
"Auberry, CA",USA,37.08086,-119.452719,1,street_center,,"Auberry Rd",,,Auberry,CA,"Fresno County",93602,US,"TIGER/Line® dataset from the US Census Bureau"
"Manhattan Beach, CA",USA,33.887624,-118.318018,0.9,street_center,,"Manhattan Beach Blvd",,,Gardena,CA,"Los Angeles County",90249,US,"TIGER/Line® dataset from the US Census Bureau"
"Crestview Hills, KY",USA,39.024189,-84.572432,1,street_center,,"Crestview Hills Mall Rd",,,"Ft Mitchell",KY,"Kenton County",41017,US,"TIGER/Line® dataset from the US Census Bureau"
"Bridgeport, WV",USA,39.309303,-80.282306,1,place,,,,,Bridgeport,WV,"Harrison County",26330,US,"TIGER/Line® dataset from the US Census Bureau"
"Stokesdale, N.C.",USA,36.240525,-79.984141,1,street_center,,"Stokesdale St",,,Stokesdale,NC,"Guilford County",27357,US,"TIGER/Line® dataset from the US Census Bureau"
"Pennington, N.J.",USA,40.32863,-74.813557,0.5,place,,,,,Pennington,NJ,"Mercer County",08534,US,"TIGER/Line® dataset from the US Census Bureau"
"Carolina Beach, N.C.",USA,34.145529,-77.899244,0.9,street_center,,"Carolina Beach Rd",,,Wilmington,NC,"New Hanover County",28412,US,"TIGER/Line® dataset from the US Census Bureau"
"Durham, N.C.",USA,35.949721,-78.983725,0.9,street_center,,"SW Durham Dr",,,Durham,NC,"Durham County",27707,US,"TIGER/Line® dataset from the US Census Bureau"
"Pinehurst, N.C.",USA,35.463801,-79.170734,0.9,street_center,,"Pinehurst St",,,Sanford,NC,"Lee County",27330,US,"TIGER/Line® dataset from the US Census Bureau"
"Maplewood, Minn.",USA,0,0,0,,,,,,,,,,,
"Verona, Wis.",USA,0,0,0,,,,,,,,,,,
"Olean, NY",USA,42.572861,-78.4783,0.9,street_center,,"Olean Rd",,,Chaffee,NY,"Erie County",14030,US,"TIGER/Line® dataset from the US Census Bureau"
"Chardon, OH",USA,41.580506,-81.231911,1,street_center,,"Chardon Rd",,,Chardon,OH,"Geauga County",44024,US,"TIGER/Line® dataset from the US Census Bureau"
"Lexington, KY",USA,38.145429,-84.351156,1,street_center,,"Lexington Rd",,,Lexington,KY,"Bourbon County",40511,US,"TIGER/Line® dataset from the US Census Bureau"
"Scarsdale, NY",USA,40.965345,-73.826536,0.9,street_center,,"Scarsdale Rd",,,Tuckahoe,NY,"Westchester County",10707,US,"TIGER/Line® dataset from the US Census Bureau"
"Dublin, OH",USA,40.061318,-83.110995,0.9,street_center,,"Dublin Rd",,,Hilliard,OH,"Franklin County",43026,US,"TIGER/Line® dataset from the US Census Bureau"
"Northbrook, IL",USA,42.151778,-87.81728,1,street_center,,"Northbrook Ct",,,Northbrook,IL,"Cook County",60062,US,"TIGER/Line® dataset from the US Census Bureau"
"Goodyear, AZ",USA,33.429345,-112.364977,1,street_center,,"Goodyear Pkwy",,,Goodyear,AZ,"Maricopa County",85338,US,"TIGER/Line® dataset from the US Census Bureau"
"Syracuse, N.Y.",USA,43.048934,-76.179761,1,street_center,,"Syracuse St",,,Syracuse,NY,"Onondaga County",13204,US,"TIGER/Line® dataset from the US Census Bureau"
"Canonsburg, PA",USA,40.26257,-80.18728,1,place,,,,,Canonsburg,PA,"Washington County",15317,US,"TIGER/Line® dataset from the US Census Bureau"
"Mine Hill, N.J.",USA,40.84811,-74.819826,0.9,street_center,,"Mine Hill Rd",,,Hackettstown,NJ,"Morris County",07840,US,"TIGER/Line® dataset from the US Census Bureau"
"Northville, MI",USA,42.403221,-83.469416,1,street_center,,"Northville Rd",,,Northville,MI,"Wayne County",48167,US,"TIGER/Line® dataset from the US Census Bureau"
"Grove City, OH",USA,39.882362,-83.107896,1,street_center,,"Grove City Rd",,,"Grove City",OH,"Franklin County",43123,US,"TIGER/Line® dataset from the US Census Bureau"
"New Baltimore, MI",USA,42.599256,-82.878242,0.9,street_center,,"New St",,,"Mount Clemens",MI,"Macomb County",48043,US,"TIGER/Line® dataset from the US Census Bureau"
"Spring Branch, TX",USA,29.864548,-98.457454,1,street_center,,"Spring Branch Rd",,,"Spring Branch",TX,"Comal County",78070,US,"TIGER/Line® dataset from the US Census Bureau"
"Breinigsville, PA",USA,40.53676,-75.6313,0.5,place,,,,,Breinigsville,PA,"Lehigh County",18031,US,"TIGER/Line® dataset from the US Census Bureau"
"Bolivar, OH",USA,40.618002,-81.449534,0.5,place,,,,,Bolivar,OH,"Tuscarawas County",44612,US,"TIGER/Line® dataset from the US Census Bureau"
"Canton, GA",USA,34.255299,-84.495229,1,street_center,,"Canton Ln",,,Canton,GA,"Cherokee County",30114,US,"TIGER/Line® dataset from the US Census Bureau"
"Belleville, IL",USA,38.601271,-89.819323,0.9,street_center,,"Belleville St",,,Lebanon,IL,"St. Clair County",62254,US,"TIGER/Line® dataset from the US Census Bureau"
"Alexandria, VA",USA,38.746465,-77.049598,1,street_center,,"Alexandria Ave",,,Wellington,VA,"Fairfax County",22308,US,"TIGER/Line® dataset from the US Census Bureau"
"Newtown, PA",USA,40.8858,-78.32731,0.8,place,,,,,"New Town",PA,"Clearfield County",16666,US,"TIGER/Line® dataset from the US Census Bureau"
"Madison, WI",USA,43.060926,-88.230636,0.5,place,,,,,Madison,WI,"Waukesha County",53702,US,"TIGER/Line® dataset from the US Census Bureau"
"Toms River, NJ",USA,40.003985,-74.236858,1,street_center,,"Toms River Rd",,,"Toms River",NJ,"Ocean County",08757,US,"TIGER/Line® dataset from the US Census Bureau"
"Colonia, NJ",USA,40.580145,-74.294991,1,street_center,,"Colonia Pl",,,Colonia,NJ,"Middlesex County",07067,US,"TIGER/Line® dataset from the US Census Bureau"
"Waupaca, WI",USA,44.39573,-88.746016,0.9,street_center,,"Waupaca St",,,"New London",WI,"Waupaca County",54961,US,"TIGER/Line® dataset from the US Census Bureau"
"Wildomar, CA",USA,33.642886,-117.289895,0.9,street_center,,"Wildomar Rd",,,"Lake Elsinore",CA,"Riverside County",92530,US,"TIGER/Line® dataset from the US Census Bureau"
"Union, NJ",USA,40.692651,-74.269841,1,place,,,,,Union,NJ,"Union County",07083,US,"TIGER/Line® dataset from the US Census Bureau"
"Fort Wayne, IN",USA,41.065397,-85.15842,0.5,place,,,,,"Fort Wayne",IN,"Allen County",46802,US,"TIGER/Line® dataset from the US Census Bureau"
"Topsail Beach, N.C.",USA,34.350371,-77.651525,1,street_center,,"Topsail Dr",,,"Holly Ridge",NC,"Pender County",28445,US,"TIGER/Line® dataset from the US Census Bureau"
"Santa Teresa, N.M.",USA,31.840878,-106.606746,1,street_center,,"Santa Teresita Dr",,,"Santa Teresa",NM,"Doña Ana County",88008,US,"TIGER/Line® dataset from the US Census Bureau"
"Verona, N.Y.",USA,43.084,-75.541929,0.9,street_center,,"Verona St",,,Vernon,NY,"Oneida County",13476,US,"TIGER/Line® dataset from the US Census Bureau"
"West Hempstead, N.Y.",USA,40.690251,-73.653023,0.5,place,,,,,"West Hempstead",NY,"Nassau County",11552,US,"TIGER/Line® dataset from the US Census Bureau"
"Arecibo, P.R.",USA,18.402239,-66.7114,1,place,,,,,Arecibo,PR,"Arecibo Municipio",00612,US,"TIGER/Line® dataset from the US Census Bureau"
"Tirana, Albania",USA,29.902548,-91.632609,1,street_center,,Trina,,,Jeanerette,LA,"St. Mary Parish",70544,US,"TIGER/Line® dataset from the US Census Bureau"
"LaGrangeville, N.Y.",USA,41.692457,-73.898951,0.9,street_center,,"Lagrange Ave",,,Poughkeepsie,NY,"Dutchess County",12603,US,"TIGER/Line® dataset from the US Census Bureau"
"Montvale, N.J.",USA,41.046486,-74.027098,1,street_center,,"Montvale Ave",,,Montvale,NJ,"Bergen County",07645,US,"TIGER/Line® dataset from the US Census Bureau"
"Little Neck, N.Y.",USA,40.770971,-73.751389,1,street_center,,"Little Neck Rd",,,"Little Neck",NY,"Queens County",11363,US,"TIGER/Line® dataset from the US Census Bureau"
"Morehead, KY.",USA,38.274896,-83.546537,0.9,street_center,,"Morehead Rd",,,Wallingford,KY,"Fleming County",41093,US,"TIGER/Line® dataset from the US Census Bureau"
"Morgantown, W.V.",USA,39.619016,-79.949538,1,street_center,,"Morgantown Ave",,,Morgantown,WV,"Monongalia County",26501,US,"TIGER/Line® dataset from the US Census Bureau"
"Grandy, N.C.",USA,36.232849,-75.886099,1,street_center,,"Grandy Rd",,,Grandy,NC,"Currituck County",27939,US,"TIGER/Line® dataset from the US Census Bureau"
"Moline, Ill.",USA,0,0,0,,,,,,,,,,,
"Prairie du Sac, Wis.",USA,43.28693,-89.72401,1,place,,,,,"Prairie Du Sac",WI,"Sauk County",53578,US,"TIGER/Line® dataset from the US Census Bureau"
"Rosemount, Minn.",USA,0,0,0,,,,,,,,,,,
"Tower, Minn.",USA,0,0,0,,,,,,,,,,,
"Saline, Mich.",USA,44.931415,-69.834764,0.75,place,,,,,Solon,ME,"Somerset County",04979,US,"TIGER/Line® dataset from the US Census Bureau"
"Rockleigh, N.J.",USA,41.000065,-73.927843,1,street_center,,"Rockleigh Rd",,,Northvale,NJ,"Bergen County",07647,US,"TIGER/Line® dataset from the US Census Bureau"
"New Hope, MN",USA,45.03802,-93.386619,0.8,place,,,,,"New Hope",MN,"Hennepin County",55428,US,"TIGER/Line® dataset from the US Census Bureau"
"Mokena, IL",USA,41.530669,-87.885537,1,street_center,,"Mokena St",,,Mokena,IL,"Will County",60448,US,"TIGER/Line® dataset from the US Census Bureau"
"Weatherford, TX",USA,32.768617,-97.796171,0.9,street_center,,"E Weatherford St",,,Weatherford,TX,"Parker County",76086,US,"TIGER/Line® dataset from the US Census Bureau"
"Akron, OH",USA,41.039691,-81.715013,0.9,street_center,,"Akron Rd",,,Wadsworth,OH,"Medina County",44281,US,"TIGER/Line® dataset from the US Census Bureau"
"River Falls, WI",USA,44.847209,-92.637475,1,street_center,,"River Hills Rd",,,"River Falls",WI,"Pierce County",54022,US,"TIGER/Line® dataset from the US Census Bureau"
"Hortonville, WI",USA,44.342058,-88.588244,1,place,,,,,Hortonville,WI,"Outagamie County",54944,US,"TIGER/Line® dataset from the US Census Bureau"
"Fairfax, VA",USA,38.844332,-77.285074,1,street_center,,"Fairfax Sq",,,Fairfax,VA,"Fairfax City",22031,US,"TIGER/Line® dataset from the US Census Bureau"
"Hilton Head Island, SC",USA,32.21319,-80.799698,1,place,,,,,"Hilton Head Island",SC,"Beaufort County",29925,US,"TIGER/Line® dataset from the US Census Bureau"
"San Juan, PR",USA,18.465299,-66.116666,0.5,place,,,,,"San Juan",PR,"San Juan Municipio",00901,US,"TIGER/Line® dataset from the US Census Bureau"
"Purcellville, VA",USA,39.179522,-77.699719,1,street_center,,"Purcellville Rd",,,Purcellville,VA,"Loudoun County",20132,US,"TIGER/Line® dataset from the US Census Bureau"
"Naperville, IL",USA,41.804863,-88.119497,1,street_center,,"Naperville Rd",,,Naperville,IL,"Dupage County",60563,US,"TIGER/Line® dataset from the US Census Bureau"
"Fort Lauderdale, FL",USA,26.121323,-80.127909,0.5,place,,,,,"Fort Lauderdale",FL,"Broward County",33301,US,"TIGER/Line® dataset from the US Census Bureau"
"Grantville, PA",USA,40.373438,-76.682667,1,place,,,,,Grantville,PA,"Dauphin County",17028,US,"TIGER/Line® dataset from the US Census Bureau"
"McDonough, Ga.",USA,33.407219,-84.169327,1,street_center,,"McDonough Pl",,,McDonough,GA,"Henry County",30253,US,"TIGER/Line® dataset from the US Census Bureau"
"Penfield, N.Y.",USA,43.128693,-77.485335,0.9,street_center,,"Penfield Rd",,,Rochester,NY,"Monroe County",14625,US,"TIGER/Line® dataset from the US Census Bureau"
"Verona, N.J.",USA,40.828956,-74.242366,1,street_center,,"Verona Pl",,,Verona,NJ,"Essex County",07044,US,"TIGER/Line® dataset from the US Census Bureau"
"Stewartsville, NJ",USA,40.713296,-75.084983,1,street_center,,"Stewartsville Rd",,,Stewartsville,NJ,"Warren County",08886,US,"TIGER/Line® dataset from the US Census Bureau"
"Santa Fe, N.M.",USA,35.503734,-106.049583,0.95,street_center,,Sandia,,,"Santa Fe",NM,"Santa Fe County",87508,US,"TIGER/Line® dataset from the US Census Bureau"
"Maple Lake, Minn.",USA,0,0,0,,,,,,,,,,,
"Miami, FL",USA,25.925062,-80.170476,1,street_center,,"Miami Dr",,,Miami,FL,"Miami-Dade County",33162,US,"TIGER/Line® dataset from the US Census Bureau"
"Kingsport, TN",USA,36.441248,-82.455832,0.9,street_center,,"Kingsport Hwy",,,"Johnson City",TN,"Washington County",37615,US,"TIGER/Line® dataset from the US Census Bureau"
"West Chicago, IL",USA,41.882891,-88.200594,1,street_center,,"Chicago St",,,"West Chicago",IL,"Dupage County",60185,US,"TIGER/Line® dataset from the US Census Bureau"
"Fogelsville, PA",USA,40.599843,-75.663187,1,place,,,,,Fogelsville,PA,"Lehigh County",18051,US,"TIGER/Line® dataset from the US Census Bureau"
"Rostraver Township, Pa.",USA,0,0,0,,,,,,,,,,,
"Northern Cambria, Pa.",USA,40.510227,-78.710477,1,county,,,,,,PA,"Cambria County",,US,"US Census Bureau"
"McClellandtown, Pa.",USA,39.892122,-79.848232,1,street_center,,"McClellandtown Rd",,,McClellandtown,PA,"Fayette County",15458,US,"TIGER/Line® dataset from the US Census Bureau"
"Stewartville, Minn.",USA,0,0,0,,,,,,,,,,,
"Belle Harbor, N.Y.",USA,0,0,0,,,,,,,,,,,
"Point Loma, CA",USA,39.220724,-121.641635,0.55,place,,,,,Lomo,CA,"Sutter County",95953,US,"TIGER/Line® dataset from the US Census Bureau"
"Pensacola, FL",USA,30.503475,-87.266652,1,street_center,,"Pensacola Blvd",,,Pensacola,FL,"Escambia County",32505,US,"TIGER/Line® dataset from the US Census Bureau"
"Genoa, IL",USA,42.110889,-88.720589,1,street_center,,"Genoa Rd",,,Genoa,IL,"Dekalb County",60135,US,"TIGER/Line® dataset from the US Census Bureau"
"Orlando, FL",USA,28.573287,-81.378803,1,street_center,,"Orlando St",,,Orlando,FL,"Orange County",32804,US,"TIGER/Line® dataset from the US Census Bureau"
"Kaneohe, HI",USA,21.40877,-157.7899,1,place,,,,,Kaneohe,HI,"Honolulu County",96744,US,"TIGER/Line® dataset from the US Census Bureau"
"Scarsdale, N.Y.",USA,40.965345,-73.826536,0.9,street_center,,"Scarsdale Rd",,,Tuckahoe,NY,"Westchester County",10707,US,"TIGER/Line® dataset from the US Census Bureau"
"Oakdale, N.Y.",USA,40.745055,-73.137148,1,street_center,,"Oakdale Ave",,,Oakdale,NY,"Suffolk County",11769,US,"TIGER/Line® dataset from the US Census Bureau"
"Ronkonkoma, N.Y.",USA,40.816793,-73.112389,1,street_center,,"Ronkonkoma Ave",,,Ronkonkoma,NY,"Suffolk County",11779,US,"TIGER/Line® dataset from the US Census Bureau"
"Brookline, N.H.",USA,42.749829,-71.737728,0.9,street_center,,"Brookline Rd",,,Greenville,NH,"Hillsborough County",03048,US,"TIGER/Line® dataset from the US Census Bureau"
"Brooklyn, N.Y.",USA,40.63776,-73.943928,1,street_center,,"Brooklyn Rd",,,Brooklyn,NY,"Kings County",11210,US,"TIGER/Line® dataset from the US Census Bureau"
"Summit, N.J.",USA,40.71275,-74.361594,1,place,,,,,Summit,NJ,"Union County",07901,US,"TIGER/Line® dataset from the US Census Bureau"
"Livonia, MI",USA,42.369351,-83.371753,1,place,,,,,Livonia,MI,"Wayne County",48150,US,"TIGER/Line® dataset from the US Census Bureau"
"Memphis, TN",USA,35.342226,-89.868875,0.9,street_center,,"Memphis Ave",,,Millington,TN,"Shelby County",38054,US,"TIGER/Line® dataset from the US Census Bureau"
"Aledo, TX",USA,32.677435,-97.486539,0.9,street_center,,"Aledo Rd",,,"Fort Worth",TX,"Tarrant County",76126,US,"TIGER/Line® dataset from the US Census Bureau"
"Loomis, CA",USA,38.814428,-121.176622,1,place,,,,,Loomis,CA,"Placer County",95650,US,"TIGER/Line® dataset from the US Census Bureau"
"Ramona, CA",USA,33.025326,-116.879303,1,street_center,,"Ramona St",,,Ramona,CA,"San Diego County",92065,US,"TIGER/Line® dataset from the US Census Bureau"
"Kailua, HI",USA,21.394554,-157.74312,1,street_center,,"Kailua Rd",,,Kailua,HI,"Honolulu County",96734,US,"TIGER/Line® dataset from the US Census Bureau"
"La Cresenta, Calif.",USA,0,0,0,,,,,,,,,,,
"Arecibom, Puerto Rico",USA,0,0,0,,,,,,,,,,,
"Oakdale, Minn.",USA,0,0,0,,,,,,,,,,,
"Hickory, N.C.",USA,35.758221,-81.308224,0.5,place,,,,,Hickory,NC,"Catawba County",28601,US,"TIGER/Line® dataset from the US Census Bureau"
"St. Michael, Minn.",USA,0,0,0,,,,,,,,,,,
"Fontana, Calif.",USA,0,0,0,,,,,,,,,,,
"Bondurant, IA",USA,41.730186,-93.45694,1,place,,,,,Bondurant,IA,"Polk County",50035,US,"TIGER/Line® dataset from the US Census Bureau"
"McAllen, TX",USA,26.175529,-98.064548,0.9,street_center,,"McAllen St",,,Donna,TX,"Hidalgo County",78537,US,"TIGER/Line® dataset from the US Census Bureau"
"Metamora, IL",USA,40.735109,-89.404729,1,street_center,,"Metamora Rd",,,Metamora,IL,"Tazewell County",61548,US,"TIGER/Line® dataset from the US Census Bureau"
"League City, TX",USA,29.508457,-95.097621,0.95,street_center,,"League St",,,"League City",TX,"Galveston County",77573,US,"TIGER/Line® dataset from the US Census Bureau"
"New Braunfels,TX",USA,29.739766,-98.104011,1,street_center,,"New Braunfels St",,,"New Braunfels",TX,"Comal County",78130,US,"TIGER/Line® dataset from the US Census Bureau"
"Inwood, W.Va.",USA,0,0,0,,,,,,,,,,,
