hometown,country,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Bronx, N.Y.",USA,40.953524,-73.826531,0.9,street_center,,"Bronx St",,,Tuckahoe,NY,"Westchester County",10707,US,"TIGER/Line® dataset from the US Census Bureau"
"Lake Grove, N.Y.",USA,40.876248,-73.068881,0.9,street_center,,"Lake Grove St",,,Centereach,NY,"Suffolk County",11720,US,"TIGER/Line® dataset from the US Census Bureau"
"Eastchester, N.Y.",USA,40.926668,-73.796109,0.9,street_center,,"Eastchester Rd",,,"New Rochelle",NY,"Westchester County",10801,US,"TIGER/Line® dataset from the US Census Bureau"
"Commack, N.Y.",USA,40.826366,-73.292908,1,street_center,,"Commack Rd",,,Commack,NY,"Suffolk County",11725,US,"TIGER/Line® dataset from the US Census Bureau"
"Rochester, Minn.",USA,0,0,0,,,,,,,,,,,
"Lakeland, FL",USA,28.076798,-81.512728,0.9,street_center,,"Lakeland Pl",,,Kissimmee,FL,"Polk County",34759,US,"TIGER/Line® dataset from the US Census Bureau"
"Cullowhee, N.C.",USA,35.305898,-83.180369,1,street_center,,"Cullowhee Hts",,,Cullowhee,NC,"Jackson County",28723,US,"TIGER/Line® dataset from the US Census Bureau"
"Spartanburg, S.C.",USA,34.948819,-82.125499,0.9,street_center,,"Spartanburg Rd",,,Lyman,SC,"Spartanburg County",29365,US,"TIGER/Line® dataset from the US Census Bureau"
"Little River, S.C.",USA,33.905171,-78.6575,0.95,street_center,,"Little River Rd",,,"Little River",SC,"Horry County",29566,US,"TIGER/Line® dataset from the US Census Bureau"
"Hutchinson, Minn.",USA,0,0,0,,,,,,,,,,,
"Coeur d’Alene, Idaho",USA,47.97368,-116.830349,0.9,street_center,,"Coeur D'alene Dr",,,"Spirit Lake",ID,"Kootenai County",83869,US,"TIGER/Line® dataset from the US Census Bureau"
"San Antonio, TX",USA,29.456919,-98.528097,1,street_center,,"San Antonio Ave",,,"San Antonio",TX,"Bexar County",78201,US,"TIGER/Line® dataset from the US Census Bureau"
"Portland, OR",USA,45.598415,-122.722776,0.9,street_center,,"N Portland Rd",,,Portland,OR,"Multnomah County",97203,US,"TIGER/Line® dataset from the US Census Bureau"
"Pendleton, IN",USA,39.970522,-85.757041,1,street_center,,"Pendleton Ave",,,Pendleton,IN,"Madison County",46064,US,"TIGER/Line® dataset from the US Census Bureau"
"Latrobe, PA",USA,40.293356,-79.379471,1,street_center,,"Latrobe St",,,Latrobe,PA,"Westmoreland County",15650,US,"TIGER/Line® dataset from the US Census Bureau"
"Murphy, NC",USA,35.131159,-84.038776,0.5,place,,,,,Murphy,NC,"Cherokee County",28906,US,"TIGER/Line® dataset from the US Census Bureau"
"Lewisville, TX",USA,33.20743,-97.116282,0.5,place,,,,,Lewisville,TX,"Denton County",75029,US,"TIGER/Line® dataset from the US Census Bureau"
"Florence, KY",USA,38.962372,-84.747789,0.5,place,,,,,Florence,KY,"Boone County",41022,US,"TIGER/Line® dataset from the US Census Bureau"
"Morris, IL",USA,41.097242,-88.429996,0.9,street_center,,"Morris Rd",,,Dwight,IL,"Livingston County",60420,US,"TIGER/Line® dataset from the US Census Bureau"
"Austin, TX",USA,30.386691,-97.691927,0.8,street_center,,"Austin Park Ln",,,Austin,TX,"Travis County",78758,US,"TIGER/Line® dataset from the US Census Bureau"
"Shelby Township, MI",USA,43.609698,-86.391361,0.9,street_center,,"W Shelby Rd",,,Shelby,MI,"Oceana County",49455,US,"TIGER/Line® dataset from the US Census Bureau"
"Huntington Beach, CA",USA,33.673475,-117.995323,1,street_center,,"Huntington St",,,"Huntington Beach",CA,"Orange County",92648,US,"TIGER/Line® dataset from the US Census Bureau"
