hometown,count
"Blakesburg, Iowa",1
"Blanchard, Okla.",1
"Blandon, Pa.",1
"Bliss, Ny",1
"Blissfield, Mich.",2
"Bloomery, W.va.",1
"Bloomfield Hills, Mich.",4
"Bloomfield, Nj",2
"Blooming Prairie, Minn.",1
"Bloomingdale, Ill.",1
"Bloomingdale, Ohio",2
"Bloomington, Il",2
"Bloomington, Ill.",6
"Bloomington, Ind.",4
"Bloomington, Minn.",4
"Bloomington, Mn",1
"Bloomington, Wis.",1
"Blue Ash, Ohio",1
"Blue Bell, Pa",1
"Blue Ridge, Texas",1
"Blue Springs, Mo.",2
"Bluefield, W.va.",1
"Bluffdale, Utah",2
"Bluffton, Sc",1
"Bluffton, South Carolina",1
"Blythewood, S.c.",2
"Blythewood, Sc",1
"Boalsburg, Pa.",3
"Boardman, Ohio",1
"Boca Raton, Fl",2
"Boca Raton, Fla.",13
"Boca Rotan, Fla.",1
"Boerne, Texas",5
"Boerne, Tx",1
"Bogart, Ga",1
"Bogota, N.j.",2
"Bohemia, Ny",1
"Boiling Springs, S.c.",2
"Boise, Id",1
"Boise, Idaho",5
"Boling, Texas",1
"Bolingbrook, Il",1
"Bolingbrook, Ill.",6
"Bolivar, N.y.",1
"Bolivar, Oh",1
"Bolton, Mass.",1
"Bondurant, Ia",1
"Bondurant, Iowa",2
"Bondville, Ill.",1
"Bonfield, Ill.",1
"Bonham, Texas",1
"Bonita Springs, Florida",1
"Bonner Springs, Kan.",1
"Bonner Springs, Ks",1
"Bonney Lake, Wa",1
"Bonnie Lake, Wa",1
"Boone, N.c.",3
"Boonsboro, Md.",2
"Boonton, Nj",1
"Boonville, Mo.",1
"Boothwyn, Pa",1
"Boothwyn, Pa.",1
"Boston, Ny",1
"Boswell, Pa.",1
"Bothell, Wa",2
"Bothell, Wash.",2
"Boulder City, Nev.",2
"Boulder, Co",1
"Boulder, Colo.",1
"Bountiful, Ut",1
"Bountiful, Utah",3
"Bourbonnais, Il",1
"Bourbonnais, Ill.",1
"Bowie, Md",2
"Bowie, Md.",5
"Bowling Green, Kentucky",1
"Bowling Green, Ky",1
"Bowling Green, Ky.",5
"Bowling Green, Ohio",2
"Boxford, Mass.",1
"Boyd, Texas",1
"Boyd, Wis.",1
"Boyertown, Pa.",3
"Boynton Beach, Fl",1
"Bozeman, Mont.",1
"Bozeman, Mt",1
"Bradenton, Fla.",3
"Brainerd, Minn.",2
"Brampton, Ontario",1
"Brandon, Fl",1
"Brandon, Minn.",2
"Brandon, Miss.",4
"Brandon, S.d.",3
"Brandywine, Md",1
Brea,1
"Brecksville, Oh",1
"Brecksville, Ohio",1
"Breese, Ill.",3
"Breinigsville, Pa",1
"Breinigsville, Pa.",1
"Bremerton, Wa",1
"Bremerton, Wash.",1
"Brenham, Texas",2
"Brentwood Bay, B.c.",1
"Brentwood, Ca",1
"Brentwood, Calif.",2
"Brentwood, Tenn.",8
"Brevard, N.c.",2
"Brewster, Mass.",1
"Brewster, N.y.",1
"Brewster, Ny",1
"Brick, N.j.",3
"Brick, Nj",1
"Bridgeport, Texas",1
"Bridgeport, W.va.",1
