team,ncaa_id,team_state,conference,division
Fort Lewis,1083,CO,RMAC,II
Francis Marion,1085,SC,Conference Carolinas,II
Shepherd,10870,WV,PSAC,II
Gardner-Webb,1092,NC,Big South,I
George Fox,1094,OR,NWC,III
Georgia College,1096,GA,Peach Belt,II
Chatham,10972,PA,PAC,III
Glenville St.,1098,WV,MEC,II
Alas. Anchorage,11,AK,Great Northwest,II
Sage Colleges,11036,NY,Empire 8,III
Greenville,1111,IL,SLIAC,III
Guilford,1112,NC,ODAC,III
Hanover,1115,IN,HCAC,III
Harding,1116,AR,GAC,II
UC San Diego,112,CA,Big West,I
Henderson St.,1123,AR,GAC,II
Hendrix,1124,AR,SAA,III
Holy Family,1126,PA,CACC,II
S.C. Aiken,11276,SC,Peach Belt,II
UC Santa Cruz,113,CA,C2C,III
Huntingdon,1130,AL,CCS,III
Husson,1133,ME,North Atlantic,III
Calvin,114,MI,Michigan Intercol. Ath. Assn.,III
Colo. Christian,11403,CO,RMAC,II
Colorado Mesa,11416,CO,RMAC,II
Queens (NC),11504,NC,ASUN,I
Fontbonne,11538,MO,SLIAC,III
Neb.-Kearney,1156,NE,Mid-America Intercollegiate,II
Keuka,1159,NY,Empire 8,III
LaGrange,1162,GA,CCS,III
Lakeland,1164,WI,NACC,III
Lander,1167,NY,Peach Belt,II
Capital,117,OH,OAC,III
Lenoir-Rhyne,1170,NC,SAC,II
Limestone,1174,SC,SAC,II
West Florida,11740,FL,Gulf South,II
Linfield,1179,OR,NWC,III
Carleton,118,MN,MIAC,III
Pitt.-Greensburg,11839,PA,AMCC,III
Carnegie Mellon,119,PA,UAA,III
Marian (WI),1196,WI,NACC,III
Mars Hill,1199,NC,SAC,II
Alas. Fairbanks,12,AK,Great Northwest,II
Carroll (WI),120,WI,CCIW,III
Mary Hardin-Baylor,1203,TX,ASC,III
Cabrini,88,PA,Atlantic East,III
CWRU,122,OH,UAA,III
Albion,15,MI,Michigan Intercol. Ath. Assn.,III
Montevallo,1238,AL,Gulf South,II
Allegheny,19,PA,PAC,III
MSU Moorhead,1240,MN,NSIC,II
Mount Olive,1245,NC,Conference Carolinas,II
Centenary (LA),125,LA,SCAC,III
Neumann,1254,PA,Atlantic East,III
Newberry,1257,SC,SAC,II
Northern St.,1266,SD,NSIC,II
Northland,1267,WI,UMAC,III
Northwest Nazarene,1274,ID,Great Northwest,II
Alliance,1277,NY,CACC,II
Wheeling,12799,WV,MEC,II
Tusculum,12830,TN,SAC,II
Centenary (NJ),12884,NJ,Atlantic East,III
Ouachita Baptist,1289,AR,GAC,II
Central Mo.,130,MO,Mid-America Intercollegiate,II
Anderson (SC),13028,SC,SAC,II
Cairn,1305,PA,CSAC,III
Pittsburg St.,1314,KS,Mid-America Intercollegiate,II
Benedictine (IL),296,IL,NACC,III
Post,1318,CT,CACC,II
Centre,132,KY,SAA,III
Rockhurst,1328,MO,GLVC,II
Lees-McRae,13302,NC,Conference Carolinas,II
St. Edward's,1334,TX,Lone Star,II
St. Joseph's (L.I.),1340,NY,Skyline,III
Saint Martin's,1343,WA,Great Northwest,II
St. Mary's (TX),1346,TX,Lone Star,II
St. Thomas Aquinas,1348,NY,ECC,II
Schreiner,1355,TX,SCAC,III
Blackburn,64,IL,SLIAC,III
Southeastern Okla.,1371,OK,GAC,II
Southern Ark.,1376,AR,GAC,II
Chris. Newport,139,VA,C2C,III
Sul Ross St.,1390,TX,ASC,III
Tarleton St.,1395,TX,WAC,I
Brockport,78,NY,SUNYAC,III
Tiffin,1403,OH,G-MAC,II
Whitworth,1454,WA,NWC,III
Wayne St. (NE),1433,NE,NSIC,II
Waynesburg,1434,PA,PAC,III
West Liberty,1438,WV,MEC,II
West Virginia St.,1439,WV,MEC,II
Clark Atlanta,144,GA,SIAC,II
Western N.M.,1445,NM,Lone Star,II
Western Ore.,1446,OR,Great Northwest,II
Western Wash.,1448,WA,Great Northwest,II
Clark (MA),145,MA,NEWMAC,III
Carthage,121,WI,CCIW,III
Castleton,123,VT,Little East,III
Clarkson,146,NY,Liberty League,III
Wilmington (OH),1461,OH,OAC,III
Wingate,1462,NC,SAC,II
Goucher,1467,MD,Landmark,III
Cedar Crest,14795,PA,CSAC,III
Catholic,124,DC,Landmark,III
Coe,150,IA,American Rivers,III
Colby,151,ME,NESCAC,III
Colorado Col.,154,CO,SCAC,III
Colo. Sch. of Mines,155,CO,RMAC,II
Colorado St.,156,CO,Mountain West,I
Rosemont,15882,PA,CSAC,III
Columbus St.,159,GA,Peach Belt,II
Albright,16,PA,MAC Commonwealth,III
Concordia Chicago,160,IL,NACC,III
