team,twitter,url,ncaa_id,stats_name,private,roster
Sam Houston State,Bearkats_WBB,https://gobearkats.com/sports/womens-volleyball,624,Sam Houston,,
Bowling Green,bgsuwbb,https://bgsufalcons.com/sports/womens-volleyball,71,Bowling Green,,
Binghamton,binghamtonuwbb,https://bubearcats.com/sports/womens-volleyball,62,Binghamton,,
Presbyterian College,bluehosewbb,https://gobluehose.com/sports/womens-volleyball,1320,Presbyterian,,
Bradley,bradleywbb,https://bradleybraves.com/sports/womens-volleyball,72,Bradley,,
Boise State,broncosportswbb,https://broncosports.com/sports/womens-volleyball,66,Boise St.,,
Bryant,bryantwvball,https://www.bryantbulldogs.com/sports/wvball/index,81,Bryant,,
Bucknell,bucknell_wbb,https://bucknellbison.com/sports/womens-volleyball,83,Bucknell,,
Butler,butleruwbb,https://butlersports.com/sports/womens-volleyball,87,Butler,,
Brigham Young,byuwbb,https://byucougars.com/sports/womens-volleyball,77,Byu,,
Cal Poly,calpolywbb,https://gopoly.com/sports/womens-volleyball,90,Cal Poly,,
Western Carolina,catamountwbb,https://catamountsports.com/sports/womens-volleyball,769,Western Caro.,,
Central Connecticut,ccsu_wbb,https://ccsubluedevils.com/sports/wvball/index,127,,,
Charlotte,charlottewbb,https://charlotte49ers.com/sports/womens-volleyball,458,Charlotte,,
Cleveland State,CSU_WBasketball,https://www.csuvikings.com/sports/w-volley/index,148,,,
Coastal Carolina,coastalwbb,https://goccusports.com/sports/womens-volleyball,149,Coastal Carolina,,
College of Charleston,cofcwbb,https://cofcsports.com/sports/womens-volleyball,1014,Col. of Charleston,,
Colgate,colgatewbb,https://colgateathletics.com/sports/womens-volleyball,153,Colgate,,
Cornell,cornellwvball,https://cornellbigred.com/sports/womens-volleyball,167,Cornell,,
Cal State Bakersfield,csub_wbb,https://gorunners.com/sports/womens-volleyball,94,CSU Bakersfield,,
Charleston Southern,csubucswbb,https://www.csusports.com/sports/womens-volleyball,48,Charleston So.,,
Columbia,culionswbb,https://gocolumbialions.com/sports/womens-volleyball,158,Columbia,,
Dartmouth,dartmouthwbb,https://dartmouthsports.com/sports/womens-volleyball,172,Dartmouth,,
Davidson,davidsonwbb,https://davidsonwildcats.com/sports/womens-volleyball,173,Davidson,,
Delaware,delawarewbb,https://bluehens.com/sports/womens-volleyball,180,Delaware,,
DePaul,DePaulWBBHoops,https://depaulbluedemons.com/sports/womens-volleyball,176,DePaul,,
Delaware State,dsuwbb,https://dsuhornets.com/sports/womens-volleyball,178,Delaware St.,,
Eastern Illinois,eiuwbb,https://eiupanthers.com/sports/womens-volleyball,201,Eastern Ill.,,
Eastern Kentucky,ekuwbb,https://ekusports.com/sports/womens-volleyball,202,Eastern Ky.,,
Eastern Michigan,emuwbb,https://emueagles.com/sports/womens-volleyball,204,Eastern Mich.,,
Maryland-Eastern Shore,eshawkswbb,https://easternshorehawks.com/sports/womens-volleyball,393,Maryland Eastern Shore,,
East Tennessee State,etsu_wbb,https://etsubucs.com/sports/womens-volleyball,198,Etsu,,
Eastern Washington,ewuwbb,https://goeags.com/sports/womens-volleyball,207,,,
Florida Atlantic,FAUWBB,https://fausports.com/sports/womens-volleyball,229,Fla. Atlantic,,
Fairleigh Dickinson,fduknightswbb,https://fduknights.com/sports/womens-volleyball,222,Fairleigh Dickinson,,
Florida Gulf Coast,fgcu_wbb,https://fgcuathletics.com/sports/womens-volleyball,28755,Fgcu,,
Fordham,FordhamWBB,https://fordhamsports.com/sports/womens-volleyball,236,Fordham,,
Fresno State,fresnostatewbb,https://gobulldogs.com/sports/womens-volleyball,96,Fresno St.,,
Florida St,fsuwbb,https://seminoles.com/sports/womens-volleyball,234,Florida St.,,
Cal State Fullerton,fullertonwbb,https://fullertontitans.com/sports/womens-volleyball,97,Cal St. Fullerton,,
Furman,furmanwbb,https://furmanpaladins.com/sports/womens-volleyball,244,Furman,,
Saint Mary's (CA),gaelswbb,https://smcgaels.com/sports/womens-volleyball,610,Saint Mary's (CA),,
Grand Canyon,gcu_wbb,https://gculopes.com/sports/womens-volleyball,1104,Grand Canyon,,
Cincinnati,gobearcatswbb,https://gobearcats.com/sports/womens-volleyball,140,Cincinnati,,
Campbell,gocamelswbb,https://gocamels.com/sports/womens-volleyball,115,Campbell,,
Northern Illinois,gohuskieswbb,https://niuhuskies.com/sports/womens-volleyball,503,Northern Ill.,,
Minnesota,gopherwbb,https://gophersports.com/sports/womens-volleyball,428,Minnesota,,
Wichita State,goshockerswbb,https://goshockers.com/sports/womens-volleyball,782,Wichita St.,,
