"ncaa_id","team","player_id","name","year","hometown","homestate","high_school","previous_school_clean","height_clean","position","jersey","url","season","height_ft","height_in","total_inches","primary_position","secondary_position","position_full","year_clean","redshirt","hs_clean","hometown_clean","state_clean","country_clean"
817,"Youngstown St.",6721,"Isidora Sisic","Fifth Year","Novi Sad","Serbia","Isidora Sekulic Gymnasium","Chicago State","6'1""","Libero","21","https://www.ysusports.com/sports/womens-volleyball/roster/isidora-sisic/6721","202320",6,1,73,"L",,"L","Fifth Year",0,"Isidora Sekulic Gymnasium","NOVI SAD, SERBIA",,"SERBIA"
817,"Youngstown St.",6722,"Michelle Fredrick","Freshman","Middleburg Heights","Ohio","Holy Name",,"6'1""","Right","22","https://www.ysusports.com/sports/womens-volleyball/roster/michelle-fredrick/6722","202320",6,1,73,"RS",,"RS","Freshman",0,"Holy Name","MIDDLEBURG HEIGHTS, OHIO","OH","USA"
817,"Youngstown St.",6723,"Abbie Householder","Sophomore","Canfield","Ohio","Canfield",,"6'0""","Outside","23","https://www.ysusports.com/sports/womens-volleyball/roster/abbie-householder/6723","202320",6,0,72,"OH",,"OH","Sophomore",0,"Canfield","CANFIELD, OHIO","OH","USA"
817,"Youngstown St.",6724,"Kiyah Franklin","Junior","Macomb","Mich","Romeo",,"6'0""","Right","24","https://www.ysusports.com/sports/womens-volleyball/roster/kiyah-franklin/6724","202320",6,0,72,"RS",,"RS","Junior",0,"Romeo","MACOMB, MICH","MI","USA"
8398,"Hilbert",3597,"Makayla Nunley","Junior","Buffalo","New York","City Honors",,"5'3""","Libero","2","https://www.hilberthawks.com/sports/womens-volleyball/roster/makayla-nunley/3597","202320",5,3,63,"L",,"L","Junior",0,"City Honors","BUFFALO, NY","NY","USA"
8398,"Hilbert",3604,"Natalie Ruhlmann","Junior","Cheektowaga","New York","Cheektowaga Central | Erie CC",,"5'4""","Libero","3","https://www.hilberthawks.com/sports/womens-volleyball/roster/natalie-ruhlmann/3604","202320",5,4,64,"L",,"L","Junior",0,"Cheektowaga Central | Erie CC","CHEEKTOWAGA, NY","NY","USA"
8398,"Hilbert",3646,"Jessee Jonathan","Sophomore","Basom","New York","Akron",,"5'2""","Setter","4","https://www.hilberthawks.com/sports/womens-volleyball/roster/jessee-jonathan/3646","202320",5,2,62,"S",,"S","Sophomore",0,"Akron","BASOM, NY","NY","USA"
8398,"Hilbert",3593,"Alyssa Collier","Junior","Hamburg","New York","Lancaster",,"5'5""","Outside","5","https://www.hilberthawks.com/sports/womens-volleyball/roster/alyssa-collier/3593","202320",5,5,65,"OH",,"OH","Junior",0,"Lancaster","HAMBURG, NY","NY","USA"
8398,"Hilbert",3601,"Maria Spinelli","Junior","West Seneca","New York","West Seneca East",,"5'9""","Middle","6","https://www.hilberthawks.com/sports/womens-volleyball/roster/maria-spinelli/3601","202320",5,9,69,"MB",,"MB","Junior",0,"West Seneca East","WEST SENECA, NY","NY","USA"
8398,"Hilbert",3645,"Jazzelle McLean","Freshman","Mechanicville","New York","Mechanicville",,"5'8""","Middle","7","https://www.hilberthawks.com/sports/womens-volleyball/roster/jazzelle-mclean/3645","202320",5,8,68,"MB",,"MB","Freshman",0,"Mechanicville","MECHANICVILLE, NY","NY","USA"
8398,"Hilbert",3594,"Emily Garnett","Sophomore","Syracuse","New York","Solvay",,"5'7""","Outside","8","https://www.hilberthawks.com/sports/womens-volleyball/roster/emily-garnett/3594","202320",5,7,67,"OH",,"OH","Sophomore",0,"Solvay","SYRACUSE, NY","NY","USA"
8398,"Hilbert",3736,"Gianna Smalley","Junior","Ransomville","New York","Lewiston Porter | Niagara CCC",,"5'5""","Outside","13","https://www.hilberthawks.com/sports/womens-volleyball/roster/gianna-smalley/3736","202320",5,5,65,"OH",,"OH","Junior",0,"Lewiston Porter | Niagara CCC","RANSOMVILLE, NY","NY","USA"
8398,"Hilbert",3599,"McKenna Rice","Sophomore","North Collins","New York","North Collins",,"5'9""","Outside","14","https://www.hilberthawks.com/sports/womens-volleyball/roster/mckenna-rice/3599","202320",5,9,69,"OH",,"OH","Sophomore",0,"North Collins","NORTH COLLINS, NY","NY","USA"
8398,"Hilbert",3600,"Michaela Rice","Sophomore","North Collins","New York","North Collins",,"5'11""","Opposite","15","https://www.hilberthawks.com/sports/womens-volleyball/roster/michaela-rice/3600","202320",5,11,71,"OPP",,"OPP","Sophomore",0,"North Collins","NORTH COLLINS, NY","NY","USA"
8398,"Hilbert",3595,"Katie Kociszewski","Junior","Cheektowaga","New York","West Seneca East",,"5'11""","Middle","16","https://www.hilberthawks.com/sports/womens-volleyball/roster/katie-kociszewski/3595","202320",5,11,71,"MB",,"MB","Junior",0,"West Seneca East","CHEEKTOWAGA, NY","NY","USA"
8398,"Hilbert",3602,"Kara Valvo","Sophomore","Chaffee","New York","Pioneer",,"5'7""","Defensive","17","https://www.hilberthawks.com/sports/womens-volleyball/roster/kara-valvo/3602","202320",5,7,67,"DS",,"DS","Sophomore",0,"Pioneer","CHAFFEE, NY","NY","USA"
8398,"Hilbert",3606,"Jada Whitt","Freshman","Cheektowaga","New York","Cheektowaga Central",,"5'7""","Middle","19","https://www.hilberthawks.com/sports/womens-volleyball/roster/jada-whitt/3606","202320",5,7,67,"MB",,"MB","Freshman",0,"Cheektowaga Central","CHEEKTOWAGA, NY","NY","USA"
8398,"Hilbert",3598,"Jenna Revak","Sophomore","West Mifflin","Pennsylvania","Serra Catholic High School",,"5'9""","Outside","20","https://www.hilberthawks.com/sports/womens-volleyball/roster/jenna-revak/3598","202320",5,9,69,"OH",,"OH","Sophomore",0,"Serra Catholic High School","WEST MIFFLIN, PA","PA","USA"
84,"Buena Vista",9761,"Molly Bense","Senior","Elk River","Minn","Elk River",,"5'3""","DS","1","https://www.bvuathletics.com/sports/womens-volleyball/roster/molly-bense/9761","202320",5,3,63,"DS",,"DS","Senior",0,"Elk River","ELK RIVER, MINN","MN","USA"
84,"Buena Vista",9773,"Lacie Davis","Freshman","Coon Rapids","Iowa","Coon Rapids-Bayard",,"5'1""","DS","2","https://www.bvuathletics.com/sports/womens-volleyball/roster/lacie-davis/9773","202320",5,1,61,"DS",,"DS","Freshman",0,"Coon Rapids-Bayard","COON RAPIDS, IOWA","IA","USA"
84,"Buena Vista",9786,"Kylie Trappe","Freshman","Mason City","Iowa","Mason City",,"5'2""","DS","2","https://www.bvuathletics.com/sports/womens-volleyball/roster/kylie-trappe/9786","202320",5,2,62,"DS",,"DS","Freshman",0,"Mason City","MASON CITY, IOWA","IA","USA"
84,"Buena Vista",9764,"Erin Coogler","Junior","Nevada","Iowa","Nevada",,"5'6""","DS","3","https://www.bvuathletics.com/sports/womens-volleyball/roster/erin-coogler/9764","202320",5,6,66,"DS",,"DS","Junior",0,"Nevada","NEVADA, IOWA","IA","USA"
84,"Buena Vista",9783,"Breanna Sebetka","Freshman","Traer","Iowa","North Tama",,"5'9""","MB","4","https://www.bvuathletics.com/sports/womens-volleyball/roster/breanna-sebetka/9783","202320",5,9,69,"MB",,"MB","Freshman",0,"North Tama","TRAER, IOWA","IA","USA"
84,"Buena Vista",9769,"Skylar Needham","Sophomore","Omaha","Neb","Roncalli",,"5'8""","S","5","https://www.bvuathletics.com/sports/womens-volleyball/roster/skylar-needham/9769","202320",5,8,68,"S",,"S","Sophomore",0,"Roncalli","OMAHA, NEB","NE","USA"
84,"Buena Vista",9768,"Molly McCauley","Senior","Algona","Iowa",,,"5'8""","OH","6","https://www.bvuathletics.com/sports/womens-volleyball/roster/molly-mccauley/9768","202320",5,8,68,"OH",,"OH","Senior",0,,"ALGONA, IOWA","IA","USA"
84,"Buena Vista",9777,"Jilly Janssen","Freshman","Grimes","Iowa","Dallas Center-Grimes",,"5'9""","S/RS","7","https://www.bvuathletics.com/sports/womens-volleyball/roster/jilly-janssen/9777","202320",5,9,69,"S","RS","S/RS","Freshman",0,"Dallas Center-Grimes","GRIMES, IOWA","IA","USA"
84,"Buena Vista",9763,"Skylar Cole","Senior","Storm Lake","Iowa","Storm Lake",,"5'11""","S","8","https://www.bvuathletics.com/sports/womens-volleyball/roster/skylar-cole/9763","202320",5,11,71,"S",,"S","Senior",0,"Storm Lake","STORM LAKE, IOWA","IA","USA"
84,"Buena Vista",9785,"Madison Thomas","Freshman","Correctionville","Iowa","River Valley",,"5'6""","DS/S","9","https://www.bvuathletics.com/sports/womens-volleyball/roster/madison-thomas/9785","202320",5,6,66,"DS","S","DS/S","Freshman",0,"River Valley","CORRECTIONVILLE, IOWA","IA","USA"
84,"Buena Vista",9780,"Reese Nieuwenhuis","Freshman","Manhattan","Mont","Manhattan Christian",,"5'10""","MB","10","https://www.bvuathletics.com/sports/womens-volleyball/roster/reese-nieuwenhuis/9780","202320",5,10,70,"MB",,"MB","Freshman",0,"Manhattan Christian","MANHATTAN, MONT","MT","USA"
