hometown,count,Latitude,Longitude,Accuracy Score,Accuracy Type,City,State,County,Country
"Durant, Iowa",1,41.59975,-90.9107,1,place,Durant,IA,Cedar County,US
"Durham, N.c.",9,35.99924,-78.897944,1,place,Durham,NC,Durham County,US
"Dyer, Ind.",1,41.4942,-87.52171,1,place,Dyer,IN,Lake County,US
"Dyersville, Iowa",4,42.48444,-91.12291,1,place,Dyersville,IA,Dubuque County,US
"Eagan, Minn.",8,0,0,0,,,,,
"Eagle River, Alaska",2,61.303131,-149.424518,1,place,Eagle River,AK,Anchorage Municipality,US
"Eagle River, Wis.",1,45.91718,-89.2443,1,place,Eagle River,WI,Vilas County,US
"Eagle, Idaho",1,43.735179,-116.41033,1,place,Eagle,ID,Ada County,US
"Eagle, Neb.",1,43.735179,-116.41033,1,place,Eagle,ID,Ada County,US
"Earleville, Md.",1,39.470309,-75.927952,1,place,Earleville,MD,Cecil County,US
"Earlville, Illinois",1,41.549922,-88.935981,1,place,Earlville,IL,Lasalle County,US
"Easley, S.c.",3,34.843968,-82.643754,1,place,Easley,SC,Pickens County,US
"Easley, Sc",2,34.843968,-82.643754,1,place,Easley,SC,Pickens County,US
"East Alton, Illinois",1,38.88033,-90.11122,1,place,East Alton,IL,Madison County,US
"East Aurora, N.y.",2,42.768209,-78.577136,1,place,East Aurora,NY,Erie County,US
"East Bend, N.c.",1,36.197851,-80.575334,1,place,East Bend,NC,Yadkin County,US
East Berlin,1,39.9376,-76.97859,1,place,East Berlin,PA,Adams County,US
"East Berlin, Pa.",1,39.9376,-76.97859,1,place,East Berlin,PA,Adams County,US
"East Brunswick, N.j.",1,40.427697,-74.421695,1,place,East Brunswick,NJ,Middlesex County,US
"East China, Mich.",1,42.776889,-82.543697,1,place,East China,MI,St. Clair County,US
"East Earl, Pa",1,40.142759,-76.019741,1,place,East Earl,PA,Lancaster County,US
"East Earl, Pa.",1,40.142759,-76.019741,1,place,East Earl,PA,Lancaster County,US
"East Grand Rapids, Mich.",1,42.956176,-85.660693,1,place,Grand Rapids,MI,Kent County,US
"East Greenbush, Ny",1,42.570352,-73.655682,1,place,East Greenbush,NY,Rensselaer County,US
"East Greenwich, R.i.",2,41.64335,-71.478002,1,place,East Greenwich,RI,Kent County,US
"East Hampton, Conn.",2,41.559841,-72.494927,1,place,East Hampton,CT,Lower Connecticut River Valley Planning Region,US
"East Hampton, Ct",1,41.559841,-72.494927,1,place,East Hampton,CT,Lower Connecticut River Valley Planning Region,US
"East Hampton, N.y.",1,40.96343,-72.1848,1,place,East Hampton,NY,Suffolk County,US
"East Lansing, Mich.",1,42.763888,-84.458771,1,place,East Lansing,MI,Ingham County,US
"East Liberty, Ohio",1,40.302682,-83.57512,1,place,East Liberty,OH,Logan County,US
"East Liverpool,  Ohio",1,40.677372,-80.600629,1,place,East Liverpool,OH,Columbiana County,US
"East Liverpool, Oh",1,40.677372,-80.600629,1,place,East Liverpool,OH,Columbiana County,US
"East Liverpool, Ohio",1,40.677372,-80.600629,1,place,East Liverpool,OH,Columbiana County,US
"East Norriton, Pa",1,40.13018,-75.331629,0.8,place,East Norriton,PA,Montgomery County,US
"East Orange, Nj",1,40.77185,-74.207039,1,place,East Orange,NJ,Essex County,US
"East Palestine, Ohio",1,40.83395,-80.54035,1,place,East Palestine,OH,Columbiana County,US
"East Patchogue, N.y.",1,40.767043,-72.996219,0.9,place,East Patchogue,NY,Suffolk County,US
"East Patchogue, Ny",1,40.767043,-72.996219,0.9,place,East Patchogue,NY,Suffolk County,US
"East Setauket, Ny",1,40.94149,-73.10594,1,place,East Setauket,NY,Suffolk County,US
"East St. Louis, Illinois",1,38.644405,-90.140016,1,place,East Saint Louis,IL,St. Clair County,US
"East Stroudsburg, Pa.",2,40.99954,-75.18129,1,place,East Stroudsburg,PA,Monroe County,US
"East Troy, Wis.",1,42.78529,-88.4051,1,place,East Troy,WI,Walworth County,US
"Eastchester, N.y.",1,40.956098,-73.812177,1,place,Eastchester,NY,Westchester County,US
"Easthampton, Ma",1,42.26676,-72.66898,1,place,Easthampton,MA,Hampshire County,US
"Easthampton, Mass.",1,41.559841,-72.494927,1,place,East Hampton,CT,Lower Connecticut River Valley Planning Region,US
"Eastlake, Oh",1,41.658653,-81.444531,1,place,Eastlake,OH,Lake County,US
"Easton, Pa",1,40.746007,-75.225665,1,place,Easton,PA,Northampton County,US
"Easton, Pa.",1,40.746007,-75.225665,1,place,Easton,PA,Northampton County,US
Eastvale,1,40.766732,-80.314785,0.8,place,Eastvale,PA,Beaver County,US
"Eastvale, Calif.",1,32.96229,-108.61116,1,place,Cliff,NM,Grant County,US
"Eaton, Colo.",3,42.01777,-93.31521,1,place,Colo,IA,Story County,US
"Eatonville, Wash.",1,46.904844,-122.30141,1,place,Eatonville,WA,Pierce County,US
"Eau Claire, Wis.",4,44.75653,-91.473097,1,place,Eau Claire,WI,Eau Claire County,US
"Ebensbirg, Pa",1,40.459581,-78.771875,1,place,Ebensburg,PA,Cambria County,US
"Ebensburg, Pa.",2,40.459581,-78.771875,1,place,Ebensburg,PA,Cambria County,US
"Eden Prairie, Minn.",4,44.8209,-69.11116,0.75,place,Etna,ME,Penobscot County,US
"Eden Valley, Minn.",2,44.8209,-69.11116,0.75,place,Etna,ME,Penobscot County,US
"Eden, N.y.",1,42.641429,-78.875456,1,place,Eden,NY,Erie County,US
"Edgerton, Minn.",1,0,0,0,,,,,
"Edgerton, Wis.",2,42.803797,-89.101389,1,place,Edgerton,WI,Rock County,US
"Edgewood, Iowa",1,42.64443,-91.40125,1,place,Edgewood,IA,Delaware County,US
"Edgewood, Kentucky",1,39.018672,-84.581888,0.8,place,Edgewood,KY,Kenton County,US
"Edgewood, Ky.",1,39.018672,-84.581888,0.8,place,Edgewood,KY,Kenton County,US
"Edina, Minn.",6,44.8209,-69.11116,0.75,place,Etna,ME,Penobscot County,US
"Edinboro, Pa",1,41.90425,-80.157715,1,place,Edinboro,PA,Erie County,US
"Edinboro, Pa.",1,41.90425,-80.157715,1,place,Edinboro,PA,Erie County,US
"Edinburgh, Ind,",1,39.35422,-85.96666,1,place,Edinburgh,IN,Johnson County,US
"Edison, Nj",1,40.519753,-74.393444,1,place,Edison,NJ,Middlesex County,US
"Edmond, Ok",2,35.674777,-97.499681,1,place,Edmond,OK,Oklahoma County,US
"Edmond, Okla.",9,35.674777,-97.499681,1,place,Edmond,OK,Oklahoma County,US
"Edmond, Oklahoma",1,35.674777,-97.499681,1,place,Edmond,OK,Oklahoma County,US
"Edmonton, Alberta",1,36.858078,-77.894632,1,place,Alberta,VA,Brunswick County,US
"Edmonton, Alberta, Canada",1,53.513226,-113.623864,1,place,Edmonton,AB,,CA
"Edwards, Colorado",1,39.638166,-106.620644,1,place,Edwards,CO,Eagle County,US
"Edwardsburg, Mich.",1,41.807011,-85.997234,1,place,Edwardsburg,MI,Cass County,US
"Edwardsville, Ill.",6,38.841819,-89.877841,1,place,Edwardsville,IL,Madison County,US
"Egg Harbor City, Nj",1,39.530539,-74.638341,1,place,Egg Harbor City,NJ,Atlantic County,US
"Eighty Four, Pa.",1,40.17557,-80.099336,1,place,Eighty-Four,PA,Washington County,US
Eisenhower,1,0,0,0,,,,,
El Cajon,1,32.776012,-116.880634,1,place,El Cajon,CA,San Diego County,US
"El Cerrito, Calif.",1,37.918024,-122.30248,1,place,El Cerrito,CA,Contra Costa County,US
"El Dorado Hills, Ca",2,38.686847,-121.044846,1,place,El Dorado Hills,CA,El Dorado County,US
"El Dorado Hills, Calif.",3,38.686847,-121.044846,1,place,El Dorado Hills,CA,El Dorado County,US
"El Dorado, Kan.",1,33.187446,-92.630038,1,place,El Dorado,AR,Union County,US
"El Granada, Ca",1,37.510085,-122.473404,1,place,El Granada,CA,San Mateo County,US
"El Paso, Texas",30,31.763608,-106.484592,1,place,El Paso,TX,El Paso County,US
"El Paso, Tx",3,31.763608,-106.484592,1,place,El Paso,TX,El Paso County,US
"El Segundo, Calif.",1,33.91918,-118.41647,1,place,El Segundo,CA,Los Angeles County,US
"El Toro, Calif.",1,32.96229,-108.61116,1,place,Cliff,NM,Grant County,US
"Elberfeld, Ind.",1,38.128931,-87.416104,1,place,Elberfeld,IN,Warrick County,US
"Elburn, Ill.",1,41.834928,-88.469931,1,place,Elburn,IL,Kane County,US
"Eldora, Iowa",1,42.335289,-93.141651,1,place,Eldora,IA,Hardin County,US
"Eldridge, Iowa",5,41.65809,-90.58458,1,place,Eldridge,IA,Scott County,US
"Elgin, Il",1,42.034492,-88.238396,1,place,Elgin,IL,Cook County,US
"Elgin, Ill.",1,42.034492,-88.238396,1,place,Elgin,IL,Cook County,US
"Elgin, Illinois",1,42.034492,-88.238396,1,place,Elgin,IL,Cook County,US
"Elizabeth, Colo.",1,42.01777,-93.31521,1,place,Colo,IA,Story County,US
"Elizabeth, Nj",4,40.672052,-74.183438,1,place,Elizabeth,NJ,Union County,US
"Elizabeth, Pa.",1,40.26924,-79.88977,1,place,Elizabeth,PA,Allegheny County,US
"Elizabethtown, Kentucky",1,37.684807,-85.878391,1,place,Elizabethtown,KY,Hardin County,US
"Elizabethtown, Ky",2,37.684807,-85.878391,1,place,Elizabethtown,KY,Hardin County,US
"Elizabethtown, Ky.",1,37.684807,-85.878391,1,place,Elizabethtown,KY,Hardin County,US
"Elizabethtown, Pa.",3,40.150963,-76.61028,1,place,Elizabethtown,PA,Lancaster County,US
"Elk Grove, Ca",1,38.44148,-121.307142,1,place,Elk Grove,CA,Sacramento County,US
"Elk Grove, Calif.",1,38.44148,-121.307142,1,place,Elk Grove,CA,Sacramento County,US
"Elk Mound, Wis.",2,44.87885,-91.68711,1,place,Elk Mound,WI,Dunn County,US
"Elk River, Minn.",3,0,0,0,,,,,
"Elkhorn, Ne",1,41.288631,-96.238818,1,place,Elkhorn,NE,Douglas County,US
"Elkhorn, Neb.",11,41.562409,-95.129522,1,place,Elk Horn,IA,Shelby County,US
"Elkhorn, Wis.",1,41.562409,-95.129522,1,place,Elk Horn,IA,Shelby County,US
"Elkridge, Md",1,39.205756,-76.753093,1,place,Elkridge,MD,Howard County,US
"Elkton, Md.",2,39.56186,-75.87574,1,place,Elkton,MD,Cecil County,US
"Ellensburg, Wash.",4,47.028084,-120.48998,1,place,Ellensburg,WA,Kittitas County,US
"Ellettsville, Ind.",2,39.276356,-86.62658,1,place,Ellettsville,IN,Monroe County,US
"Ellicott City, Md.",8,39.236405,-76.941902,1,place,Ellicott City,MD,Howard County,US
"Elliot Lake, Ontario, Canada",1,46.383143,-82.684219,1,place,Elliot Lake,ON,,CA
"Elloree, S.c.",1,33.496664,-80.582264,1,place,Elloree,SC,Orangeburg County,US
"Ellwood City, Pa.",1,40.86173,-80.28645,1,place,Ellwood City,PA,Lawrence County,US
"Elm Grove, Wis.",1,43.048211,-88.087888,1,place,Elm Grove,WI,Waukesha County,US
"Elmhurst, Ill.",5,41.88353,-87.946413,1,place,Elmhurst,IL,Dupage County,US
"Elmhurst, Illinois",1,41.88353,-87.946413,1,place,Elmhurst,IL,Dupage County,US
"Elmhurst, Ny",1,40.73509,-73.877562,1,place,Elmhurst,NY,Queens County,US
"Elmira, N.y.",2,42.082585,-76.71857,1,place,Elmira,NY,Chemung County,US
"Elverson, Pa",1,40.156293,-75.786492,1,place,Elverson,PA,Chester County,US
Elyria,1,41.371396,-82.105112,1,place,Elyria,OH,Lorain County,US
"Elyria, Oh",1,41.371396,-82.105112,1,place,Elyria,OH,Lorain County,US
"Elyria, Ohio",1,41.371396,-82.105112,1,place,Elyria,OH,Lorain County,US
"Emden, Ill.",1,40.29865,-89.4851,1,place,Emden,IL,Logan County,US
"Emerald Isle, N.c.",1,34.67794,-76.95078,1,place,Emerald Isle,NC,Carteret County,US
"Eminence, Kentucky",1,38.416293,-85.171224,1,place,Eminence,KY,Henry County,US
"Emmaus, Pa",1,40.520705,-75.496131,1,place,Emmaus,PA,Lehigh County,US
"Emory, Texas",1,32.87457,-95.76552,1,place,Emory,TX,Rains County,US
"Emporia, Ks",1,38.434153,-96.152766,1,place,Emporia,KS,Lyon County,US
"Encinitas, Ca",1,33.016928,-116.846046,1,place,Encinitas,CA,San Diego County,US
"Encinitas, Calif.",2,33.016928,-116.846046,1,place,Encinitas,CA,San Diego County,US
Endicott N.y.,1,42.150588,-76.055064,1,place,Endicott,NY,Broome County,US
"Endicott, N.y.",1,42.150588,-76.055064,1,place,Endicott,NY,Broome County,US
"Endwell, Ny",1,42.206745,-75.74488,1,place,Endwell,NY,Broome County,US
"Enfield, Conn.",1,36.18099,-77.66664,1,place,Enfield,NC,Halifax County,US
"Englewood, Colo.",2,42.01777,-93.31521,1,place,Colo,IA,Story County,US
"Englewood, Fla.",1,39.645995,-105.011411,1,place,Englewood,CO,Arapahoe County,US
"Ennis, Mt",1,45.289586,-111.665136,1,place,Ennis,MT,Madison County,US
"Enola, Pa.",1,40.2874,-76.93482,1,place,Enola,PA,Cumberland County,US
"Enterprise, Ala.",2,31.315846,-85.942956,1,place,Enterprise,AL,Coffee County,US
"Enumclaw, Wa",1,47.234107,-121.903936,1,place,Enumclaw,WA,King County,US
"Ephrata, Pa.",2,40.17982,-76.17884,1,place,Ephrata,PA,Lancaster County,US
"Epping, N.h.",1,43.047595,-71.084411,1,place,Epping,NH,Rockingham County,US
"Epworth, Iowa",2,42.458113,-90.933197,1,place,Epworth,IA,Dubuque County,US
"Erie, Co",4,40.05026,-105.04998,1,place,Erie,CO,Weld County,US
"Erie, Co.",1,40.05026,-105.04998,1,place,Erie,CO,Weld County,US
"Erie, Colo.",2,42.01777,-93.31521,1,place,Colo,IA,Story County,US
"Erie, Colorado",1,40.05026,-105.04998,1,place,Erie,CO,Weld County,US
"Erie, Mich.",1,42.121293,-80.088919,1,place,Erie,PA,Erie County,US
"Erie, Pa",1,42.121293,-80.088919,1,place,Erie,PA,Erie County,US
"Erie, Pa.",10,42.121293,-80.088919,1,place,Erie,PA,Erie County,US
"Erie, Pennsylvania",1,42.121293,-80.088919,1,place,Erie,PA,Erie County,US
"Erlanger, Ky.",1,39.019684,-84.591389,1,place,Erlanger,KY,Kenton County,US
"Escondido, Ca",1,33.102005,-117.08042,1,place,Escondido,CA,San Diego County,US
"Escondido, Calif.",1,33.102005,-117.08042,1,place,Escondido,CA,San Diego County,US
"Esko, Minn.",2,0,0,0,,,,,
"Essex, Vt",1,44.50835,-73.050271,1,place,Essex,VT,Chittenden County,US
"Essex, Vt.",1,44.50835,-73.050271,1,place,Essex,VT,Chittenden County,US
"Etobicoke, Ont.",1,0,0,0,,,,,
"Etowah, N.c.",1,35.31662,-82.5956,1,place,Etowah,NC,Henderson County,US
"Eugene, Or",1,44.067988,-123.080181,1,place,Eugene,OR,Lane County,US
"Eugene, Ore.",3,44.067988,-123.080181,1,place,Eugene,OR,Lane County,US
"Eugene, Oreg.",1,44.067988,-123.080181,1,place,Eugene,OR,Lane County,US
"Euless, Texas",3,32.859305,-97.075688,1,place,Euless,TX,Tarrant County,US
"Euless, Tx",3,32.859305,-97.075688,1,place,Euless,TX,Tarrant County,US
"Eureka, Ill.",2,40.798802,-124.15192,1,place,Eureka,CA,Humboldt County,US
"Eureka, Mo",1,38.512803,-90.630576,1,place,Eureka,MO,St. Louis County,US
"Eureka, Mo.",3,38.512803,-90.630576,1,place,Eureka,MO,St. Louis County,US
"Evans, Colo.",1,42.01777,-93.31521,1,place,Colo,IA,Story County,US
"Evans, Ga.",2,33.551132,-82.143617,1,place,Evans,GA,Columbia County,US
"Evansdale, Iowa",1,42.46915,-92.28102,1,place,Evansdale,IA,Black Hawk County,US
"Evanston, Ill.",1,42.049148,-87.702155,1,place,Evanston,IL,Cook County,US
"Evanston, Wyo.",1,42.049148,-87.702155,1,place,Evanston,IL,Cook County,US
"Evansville, In",5,37.997128,-87.574963,1,place,Evansville,IN,Vanderburgh County,US
"Evansville, Ind.",4,37.997128,-87.574963,1,place,Evansville,IN,Vanderburgh County,US
"Everett, Pa.",1,39.966962,-78.458753,1,place,Everett,PA,Bedford County,US
"Everett, Wa",1,47.988661,-122.199795,1,place,Everett,WA,Snohomish County,US
"Everett, Wash.",1,47.988661,-122.199795,1,place,Everett,WA,Snohomish County,US
"Evergreen Park, Ill.",1,41.722005,-87.702442,1,place,Evergreen Park,IL,Cook County,US
"Evergreen, Colo.",1,42.01777,-93.31521,1,place,Colo,IA,Story County,US
"Evington, Va.",1,37.243659,-79.270958,1,place,Evington,VA,Campbell County,US
"Ewa Beach, Hawai'i",1,21.34455,-158.01395,1,place,Ewa Beach,HI,Honolulu County,US
"Ewa Beach, Hawaii",2,21.34455,-158.01395,1,place,Ewa Beach,HI,Honolulu County,US
"Ewa Beach, Hi",1,21.34455,-158.01395,1,place,Ewa Beach,HI,Honolulu County,US
"Excelsior, Minn.",2,0,0,0,,,,,
"Exeter, Calif.",1,36.344716,-119.088371,1,place,Exeter,CA,Tulare County,US
"Exeter, N.h.",1,42.97731,-70.94687,1,place,Exeter,NH,Rockingham County,US
"Exton, Pa",1,40.049852,-75.637035,1,place,Exton,PA,Chester County,US
"Fair Lawn, Nj",2,40.935348,-74.119236,1,place,Fair Lawn,NJ,Bergen County,US
"Fairbank, Iowa",1,42.63943,-92.0424,1,place,Fairbank,IA,Buchanan County,US
"Fairbanks, Ak",1,67.094545,-149.336012,1,place,Fairbanks,AK,Yukon-Koyukuk Census Area,US
"Fairbault, Minn.",1,0,0,0,,,,,
"Fairborn, Ohio",1,39.82089,-84.01938,1,place,Fairborn,OH,Greene County,US
"Fairburn, Ga",2,33.591462,-84.608907,1,place,Fairburn,GA,Fulton County,US
"Fairburn, Ga.",2,33.591462,-84.608907,1,place,Fairburn,GA,Fulton County,US
"Fairbury, Ne",1,40.175641,-97.171023,1,place,Fairbury,NE,Jefferson County,US
"Fairbury, Neb.",1,40.175641,-97.171023,1,place,Fairbury,NE,Jefferson County,US
"Fairfax Station, Va.",1,38.759329,-77.311588,1,place,Fairfax Station,VA,Fairfax County,US
"Fairfax, Iowa",2,41.912837,-91.764387,1,place,Fairfax,IA,Linn County,US
"Fairfax, Mo.",1,40.347147,-95.390747,1,place,Fairfax,MO,Atchison County,US
"Fairfax, Va",3,38.853231,-77.305097,1,place,Fairfax,VA,Fairfax City,US
"Fairfax, Va.",7,38.853231,-77.305097,1,place,Fairfax,VA,Fairfax City,US
"Fairfield, Calif.",2,38.278428,-122.020276,1,place,Fairfield,CA,Solano County,US
"Fairfield, Conn.",2,38.278428,-122.020276,1,place,Fairfield,CA,Solano County,US
"Fairfield, Ct",3,41.175173,-73.282408,1,place,Fairfield,CT,Greater Bridgeport Planning Region,US
"Fairfield, Ill.",1,38.278428,-122.020276,1,place,Fairfield,CA,Solano County,US
"Fairfield, Nj",1,40.875948,-74.29681,1,place,Fairfield,NJ,Essex County,US
"Fairfield, Ohio",3,39.325714,-84.55239,1,place,Fairfield,OH,Butler County,US
"Fairfield, Pa",1,39.780789,-77.361859,1,place,Fairfield,PA,Adams County,US
"Fairfield, Texas",2,31.767543,-96.138094,1,place,Fairfield,TX,Freestone County,US
"Fairhope, Ala.",1,30.480713,-87.861306,1,place,Fairhope,AL,Baldwin County,US
"Fairhope, Alabama",1,30.480713,-87.861306,1,place,Fairhope,AL,Baldwin County,US
"Fairibault, Minn.",1,0,0,0,,,,,
"Fairmount, Ind.",1,40.41532,-85.65053,1,place,Fairmount,IN,Grant County,US
"Fairport, N.y.",1,43.104287,-77.428964,1,place,Fairport,NY,Monroe County,US
"Fairport, Ny",3,43.104287,-77.428964,1,place,Fairport,NY,Monroe County,US
"Fairview, Or",1,45.546621,-122.442402,1,place,Fairview,OR,Multnomah County,US
"Fairview, Pa",1,42.037521,-80.230321,1,place,Fairview,PA,Erie County,US
"Fairview, Texas",1,33.157895,-96.631659,0.8,place,Fairview,TX,Collin County,US
"Falcon Heights, Minn.",1,0,0,0,,,,,
"Falcon, Colo.",1,42.01777,-93.31521,1,place,Colo,IA,Story County,US
"Fall Creek, Wis.",2,44.762892,-91.306304,1,place,Fall Creek,WI,Eau Claire County,US
"Fallbrook, Calif.",1,33.390477,-117.209427,1,place,Fallbrook,CA,San Diego County,US
"Falling Waters, W.va.",1,0,0,0,,,,,
"Falling Waters, Wv",2,39.572966,-77.882155,1,place,Falling Waters,WV,Berkeley County,US
"Falls Church, Va.",2,38.884177,-77.171752,1,place,Falls Church,VA,Falls Church City,US
"Fancy Gap, Va.",1,36.667972,-80.675229,1,place,Fancy Gap,VA,Carroll County,US
"Far Rockaway, Ny",1,40.601475,-73.76191,1,place,Far Rockaway,NY,Queens County,US
"Fargo, N.d.",4,46.927094,-96.834703,1,place,Fargo,ND,Cass County,US
"Fargo, Nd",1,46.927094,-96.834703,1,place,Fargo,ND,Cass County,US
"Faribault, Minn.",4,0,0,0,,,,,
"Farina, Ill.",1,38.832201,-88.776244,1,place,Farina,IL,Fayette County,US
"Farmer City, Ill.",1,40.18631,-88.69107,1,place,Farmer City,IL,De Witt County,US
"Farmers Branch, Texas",1,32.926514,-96.896115,0.9,place,Farmers Branch,TX,Dallas County,US
"Farmersburg, Ind.",1,39.222063,-87.425279,1,place,Farmersburg,IN,Sullivan County,US
"Farmersville, Texas",1,33.218463,-96.379009,1,place,Farmersville,TX,Collin County,US
"Farmingdale, N.y.",1,40.732747,-73.432789,1,place,Farmingdale,NY,Suffolk County,US
"Farmingdale, Ny",1,40.732747,-73.432789,1,place,Farmingdale,NY,Suffolk County,US
"Farmington, Ar",1,36.04202,-94.24715,1,place,Farmington,AR,Washington County,US
"Farmington, Mn",1,44.640515,-93.14196,1,place,Farmington,MN,Dakota County,US
"Farmington, Mo.",2,37.785545,-90.443298,1,place,Farmington,MO,St. Francois County,US
"Farmington, N.m.",1,36.740321,-108.178691,1,place,Farmington,NM,San Juan County,US
"Farmington, Utah",1,40.969069,-111.907344,1,place,Farmington,UT,Davis County,US
"Farmingville, Ny",1,40.83988,-73.04318,1,place,Farmingville,NY,Suffolk County,US
"Farragut, Tenn.",1,35.860496,-84.100535,0.8,place,Farragut,TN,Knox County,US
"Farrell, Pa",1,41.210606,-80.487821,1,place,Farrell,PA,Mercer County,US
"Fate, Tex.",1,32.955476,-96.367821,1,place,Fate,TX,Rockwall County,US
"Fawn Grove, Pa.",1,39.72788,-76.45191,1,place,Fawn Grove,PA,York County,US
"Fayette City, Pa",1,40.066729,-79.844514,1,place,Fayette City,PA,Fayette County,US
"Fayetteville,  Ga.",1,33.467941,-84.480626,1,place,Fayetteville,GA,Fayette County,US
"Fayetteville, Ar",1,35.974602,-94.190997,1,place,Fayetteville,AR,Washington County,US
"Fayetteville, Ark.",4,37.432335,-76.601616,1,place,Ark,VA,Gloucester County,US
"Fayetteville, Ga",1,33.467941,-84.480626,1,place,Fayetteville,GA,Fayette County,US
"Fayetteville, Ga.",2,33.467941,-84.480626,1,place,Fayetteville,GA,Fayette County,US
"Fayetteville, N.c.",4,35.0748,-78.884257,1,place,Fayetteville,NC,Cumberland County,US
"Fayetteville, N.y.",1,43.02979,-76.00436,1,place,Fayetteville,NY,Onondaga County,US
"Fayetteville, Nc",5,35.0748,-78.884257,1,place,Fayetteville,NC,Cumberland County,US
"Fayetteville, Ny",1,43.02979,-76.00436,1,place,Fayetteville,NY,Onondaga County,US
"Fayetteville, Pa",1,39.91196,-77.56599,1,place,Fayetteville,PA,Franklin County,US
"Fayetteville, Pa.",1,39.91196,-77.56599,1,place,Fayetteville,PA,Franklin County,US
"Fayetteville, Texas",1,29.90578,-96.67275,1,place,Fayetteville,TX,Fayette County,US
"Fayettville, N.c.",1,35.0748,-78.884257,1,place,Fayetteville,NC,Cumberland County,US
"Feasterville, Pa",1,40.15468,-74.990378,1,place,Feasterville-Trevose,PA,Bucks County,US
"Federal Way, Wa",1,47.307713,-122.315773,1,place,Federal Way,WA,King County,US
"Federal Way, Wash.",1,47.307713,-122.315773,1,place,Federal Way,WA,King County,US
"Feeding Hills, Mass.",2,42.06815,-72.6787,1,place,Feeding Hills,MA,Hampden County,US
"Fennimore, Wis.",2,42.9836,-90.6554,1,place,Fennimore,WI,Grant County,US
"Fenton, Mich.",2,42.79781,-83.70495,1,place,Fenton,MI,Genesee County,US
"Fenton, Missouri",1,38.529903,-90.46737,1,place,Fenton,MO,St. Louis County,US
"Fenton, Mo.",5,38.529903,-90.46737,1,place,Fenton,MO,St. Louis County,US
"Ferndale, Wa",1,48.861113,-122.608561,1,place,Ferndale,WA,Whatcom County,US
"Festus, Mo.",3,38.22061,-90.39595,1,place,Festus,MO,Jefferson County,US
Findlay,1,41.015219,-83.664786,1,place,Findlay,OH,Hancock County,US
"Findlay, Ohio",1,41.015219,-83.664786,1,place,Findlay,OH,Hancock County,US
"Firestone, Colo.",2,42.01777,-93.31521,1,place,Colo,IA,Story County,US
"Fishers, In",2,39.95559,-86.01387,1,place,Fishers,IN,Hamilton County,US
"Fishers, Ind.",10,39.95559,-86.01387,1,place,Fishers,IN,Hamilton County,US
"Fishers, Indiana",1,39.95559,-86.01387,1,place,Fishers,IN,Hamilton County,US
"Fisherville, Ky",1,38.188936,-85.446269,1,place,Fisherville,KY,Jefferson County,US
"Fisherville, Ky,",1,38.188936,-85.446269,1,place,Fisherville,KY,Jefferson County,US
"Fisherville, Ky.",1,38.188936,-85.446269,1,place,Fisherville,KY,Jefferson County,US
"Fitchburg, Wi",1,0,0,0,,,,,
"Fitchburg, Wis.",1,42.583689,-71.816767,1,place,Fitchburg,MA,Worcester County,US
"Flat Rock, Mich.",1,42.116811,-83.300439,1,place,Flat Rock,MI,Wayne County,US
"Fleetwood, Pa.",1,40.45398,-75.81798,1,place,Fleetwood,PA,Berks County,US
"Fleming Island, Fla.",2,40.598608,-102.874735,1,place,Fleming,CO,Logan County,US
"Fleming, Colo.",2,42.01777,-93.31521,1,place,Colo,IA,Story County,US
"Flemington, N.j.",1,40.50786,-74.863283,1,place,Flemington,NJ,Hunterdon County,US
"Flemington, Nj",3,40.50786,-74.863283,1,place,Flemington,NJ,Hunterdon County,US
"Fletcher, N.c.",5,35.43067,-82.50123,1,place,Fletcher,NC,Henderson County,US
"Flora, Ind.",1,28.45743,-82.409148,1,state,,FL,,US
"Flora, Miss.",1,28.45743,-82.409148,1,state,,FL,,US
"Florence, Ala.",1,34.82298,-87.661652,1,place,Florence,AL,Lauderdale County,US
"Florence, Ariz.",1,34.82298,-87.661652,1,place,Florence,AL,Lauderdale County,US
"Florence, Ky.",2,38.962372,-84.747789,1,place,Florence,KY,Boone County,US
"Florence, S.c.",1,34.205933,-79.82626,1,place,Florence,SC,Florence County,US
"Florida, N.y.",1,41.319956,-74.36699,1,place,Florida,NY,Orange County,US
"Flourrisant, Mo.",1,38.805499,-90.351314,1,place,Florissant,MO,St. Louis County,US
"Flower Mound, Texas",8,33.026795,-97.119331,1,place,Flower Mound,TX,Denton County,US
"Flowery Branch, Ga.",6,34.1851,-83.92518,1,place,Flowery Branch,GA,Hall County,US
"Floyd Knobs, Indiana",1,38.11144,-86.8361,0.75,place,Fulda,IN,Spencer County,US
"Flushing, Mich.",1,43.06308,-83.85107,1,place,Flushing,MI,Genesee County,US
"Fogelsville, Pa",1,40.599843,-75.663187,1,place,Fogelsville,PA,Lehigh County,US
"Fogelsville, Pa.",2,40.599843,-75.663187,1,place,Fogelsville,PA,Lehigh County,US
"Folsom, Ca",1,38.666597,-121.141636,1,place,Folsom,CA,Sacramento County,US
"Folsom, Calif.",1,38.666597,-121.141636,1,place,Folsom,CA,Sacramento County,US
"Fond Du Lac, Wis.",1,43.77366,-88.436782,1,place,Fond Du Lac,WI,Fond Du Lac County,US
Fontana,1,47.051177,-109.634817,1,state,,MT,,US
"Fontana, Ca",3,34.103288,-117.4363,1,place,Fontana,CA,San Bernardino County,US
