hometown,count,Latitude,Longitude,Accuracy Score,Accuracy Type,City,State,County,Country
"Alpharetta, Ga.",7,34.112373,-84.30205,1,place,Alpharetta,GA,Fulton County,US
"Alpine, Texas",1,30.357926,-103.66029,1,place,Alpine,TX,Brewster County,US
"Alpine, Utah",4,40.459133,-111.773164,1,place,Alpine,UT,Utah County,US
"Alsip, Ill.",1,41.673552,-87.735958,1,place,Alsip,IL,Cook County,US
"Altamonte Springs, Fla.",2,28.666625,-81.365039,1,place,Altamonte Springs,FL,Seminole County,US
"Alto, Mich.",1,31.65045,-95.07272,1,place,Alto,TX,Cherokee County,US
"Alton, Ill.",2,38.8906,-90.18428,1,place,Alton,IL,Madison County,US
"Alton, N.h.",1,43.462586,-71.222455,1,place,Alton,NH,Belknap County,US
"Altoona, Ia",1,41.65097,-93.4685,1,place,Altoona,IA,Polk County,US
"Altoona, Iowa",1,41.65097,-93.4685,1,place,Altoona,IA,Polk County,US
"Altoona, Pa",2,40.489433,-78.349874,1,place,Altoona,PA,Blair County,US
"Altoona, Pa.",2,40.489433,-78.349874,1,place,Altoona,PA,Blair County,US
"Alvin, Texas",2,29.380858,-95.241857,1,place,Alvin,TX,Brazoria County,US
"Amarillo, Texas",16,35.20603,-101.839602,1,place,Amarillo,TX,Potter County,US
"Amarillo, Tx",1,35.20603,-101.839602,1,place,Amarillo,TX,Potter County,US
"Amelia, Ohio",1,39.014823,-84.205859,1,place,Amelia,OH,Clermont County,US
"American Canyon, Calif.",1,38.332126,-121.957707,1,street_center,Vacaville,CA,Solano County,US
"Ames, Ia",2,42.037879,-93.600254,1,place,Ames,IA,Story County,US
"Ames, Iowa",4,42.037879,-93.600254,1,place,Ames,IA,Story County,US
"Amherst, N.h.",1,42.87474,-71.629365,1,place,Amherst,NH,Hillsborough County,US
"Amherst, Oh",2,41.361746,-82.253828,1,place,Amherst,OH,Lorain County,US
"Amherst, Va.",1,37.59162,-79.108441,1,place,Amherst,VA,Amherst County,US
"Amston, Conn.",1,41.626377,-72.3728,1,place,Amston,CT,Capitol Planning Region,US
"Anaheim, Calif.",6,33.844983,-117.952151,1,place,Anaheim,CA,Orange County,US
"Ancaster, Ontario, Canada",1,43.204571,-79.973051,1,place,Ancaster,ON,,CA
"Anchorage, Ak",3,61.220018,-149.855702,1,place,Anchorage,AK,Anchorage Municipality,US
"Anchorage, Alaska",5,61.220018,-149.855702,1,place,Anchorage,AK,Anchorage Municipality,US
"Anderson, S.c.",5,34.506502,-82.605626,1,place,Anderson,SC,Anderson County,US
"Anderson, Sc",4,34.506502,-82.605626,1,place,Anderson,SC,Anderson County,US
"Anderson, South Carolina",1,34.506502,-82.605626,1,place,Anderson,SC,Anderson County,US
"Andover, Ma",1,42.647991,-71.165685,1,place,Andover,MA,Essex County,US
"Andover, Mass.",2,45.237661,-93.272428,1,place,Andover,MN,Anoka County,US
"Andover, Minn.",1,44.63562,-70.75118,1,place,Andover,ME,Oxford County,US
"Andover, Mn",1,45.237661,-93.272428,1,place,Andover,MN,Anoka County,US
"Andrews, Texas",1,32.370377,-102.523255,1,place,Andrews,TX,Andrews County,US
"Angusville, Manitoba, Canada",1,50.73584,-101.021298,1,place,Angusville,MB,,CA
"Animas, Nm",1,32.053042,-108.906944,1,place,Animas,NM,Hidalgo County,US
"Ankeny, Ia",2,41.672687,-93.572173,1,place,Ankeny,IA,Polk County,US
"Ankeny, Iowa",7,41.672687,-93.572173,1,place,Ankeny,IA,Polk County,US
"Ann Arbor, Mi",2,42.266638,-83.849042,1,place,Ann Arbor,MI,Washtenaw County,US
"Ann Arbor, Mich.",7,42.266638,-83.849042,1,place,Ann Arbor,MI,Washtenaw County,US
"Annandale, Minn.",1,0,0,0,,,,,
"Annandale, Va",1,38.835762,-77.212794,1,place,Annandale,VA,Fairfax County,US
"Annapolis, Md.",6,38.98775,-76.5528,1,place,Annapolis,MD,Anne Arundel County,US
"Anniston, Ala.",1,33.64916,-85.879642,1,place,Anniston,AL,Calhoun County,US
